시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,060821,2019,010,001,199,천남호,PHK1002,울릉군 수산업 협동조합,MLJ,01,장생포호안,2019-04-30 09:50,2019-05-06 09:35,MLJ,01,장생포호안,2019-04-30 09:50,2019-05-06 09:35,적하,2019-05-01,허가완료
2,DSNG8,2019,015,001,332,코롤 1호,USC2029,케이오엘 (주),MBK,01,달포부두 01,2019-05-01 14:30,2019-05-08 09:00,MBK,01,달포부두 01,2019-05-01 14:30,2019-05-08 09:00,적하,2019-05-01,허가완료
3,120025,2019,028,001,388,동방1호,BSK1014,모든기업,MLJ,01,장생포호안,2019-04-27 12:50,2019-04-27 15:15,MLJ,01,장생포호안,2019-04-27 12:50,2019-04-27 15:15,기타,2019-05-01,허가완료
4,120025,2019,028,002,388,동방1호,BSK1014,모든기업,MBJ,01,자동차부두 01,2019-04-27 15:50,2019-04-27 18:40,MBJ,01,자동차부두 01,2019-04-27 15:50,2019-04-27 18:40,양하,2019-05-01,허가완료
5,120025,2019,028,003,388,동방1호,BSK1014,모든기업,MLJ,01,장생포호안,2019-04-27 19:05,2019-04-28 07:30,MLJ,01,장생포호안,2019-04-27 19:05,2019-04-28 07:30,기타,2019-05-01,허가완료
6,DSPC6,2019,009,001,2.101,겔럭시 삼부,BSK0104,삼부해운(주),MB4,01,4부두 01,2019-04-30 05:10,2019-04-30 20:40,MB4,01,4부두 01,2019-04-30 05:10,2019-04-30 20:40,양하,2019-05-01,허가완료
7,DSNM2,2019,018,001,1.297,에이스 삼부,BSK0104,삼부해운(주),WAM,05,정박지 05,2019-04-29 17:30,2019-04-30 19:40,WAM,05,정박지 05,2019-04-29 17:30,2019-04-30 19:40,접안대기,2019-05-01,허가완료
8,DSNM2,2019,018,002,1.297,에이스 삼부,BSK0104,삼부해운(주),MB3,02,3부두 02,2019-04-30 20:15,2019-05-01 08:00,MB3,02,3부두 02,2019-04-30 20:15,2019-05-01 08:00,적하,2019-05-01,허가완료
9,960823,2019,017,001,1.595,태경유노,BSK3182,태경탱커주식회사,WAM,03,정박지 03,2019-04-30 00:45,2019-04-30 10:10,WAM,03,정박지 03,2019-04-30 00:45,2019-04-30 10:10,접안대기,2019-05-01,허가완료
10,960823,2019,017,002,1.595,태경유노,BSK3182,태경탱커주식회사,MDS,01,S-OIL1부두,2019-04-30 11:00,2019-05-01 01:40,MDS,01,S-OIL1부두,2019-04-30 11:00,2019-05-01 01:40,적하,2019-05-01,허가완료
