시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
25,S6SF,2018,014,001,17.138,WAN HAI 213,KMC0211,만해항운한국(주),MBO,05,정일컨부두,2018-12-29 16:15,2018-12-29 23:00,MBO,05,정일컨부두,2018-12-29 16:15,2018-12-29 23:00,양적하,2019-01-02,허가완료
26,S6EL2,2018,009,001,17.751,,KMC0211,만해항운한국(주),MBO,05,정일컨부두,2018-12-30 13:30,2018-12-31 00:20,MBO,05,정일컨부두,2018-12-30 13:30,2018-12-31 00:20,양적하,2019-01-02,허가완료
27,V7UP9,2018,016,001,9.520,스타 익스프레스,KMS8833,남성해운(주),MBC,01,신항컨테이너부두01,2018-12-31 05:15,2018-12-31 14:30,MBC,01,신항컨테이너부두01,2018-12-31 05:15,2018-12-31 14:30,양적하,2019-01-02,허가완료
28,V7KB8,2018,001,001,28.844,OPAL EXPRESS,USC2046,씨에스해운,WAE,02,정박지-E2,2018-12-23 04:15,2018-12-23 10:00,WAE,02,정박지-E2,2018-12-23 04:15,2018-12-23 10:00,급유,2019-01-02,허가완료
29,V7KB8,2018,001,002,28.844,OPAL EXPRESS,USC2046,씨에스해운,MBN,14,정일스톨트헤븐울산신항4부두,2018-12-23 11:05,2018-12-25 12:00,MBN,14,정일스톨트헤븐울산신항4부두,2018-12-23 11:05,2018-12-25 12:00,양하,2019-01-02,허가완료
30,3ESK6,2018,014,001,4.873,CRANE MAIA,USC2046,씨에스해운,MDW,02,OTK부두,2018-12-31 09:05,2018-12-31 18:00,MDW,02,OTK부두,2018-12-31 09:05,2018-12-31 18:00,양하,2019-01-02,허가완료
31,3ESK6,2018,014,002,4.873,CRANE MAIA,USC2046,씨에스해운,MB8,02,8부두 02,2018-12-31 19:30,2018-12-31 23:00,MB8,02,8부두 02,2018-12-31 19:30,2018-12-31 23:00,급유,2019-01-02,허가완료
32,D5CJ4,2018,007,001,25.535,레다 트레이더,OSL0038,장금상선(주),MBC,03,신항컨테이너부두03,2018-12-31 15:05,2019-01-01 04:15,MBC,03,신항컨테이너부두03,2018-12-31 15:05,2019-01-01 04:15,양적하,2019-01-02,허가완료
33,DSPR3,2018,001,001,1.598,에스티 글로리,KMC0108,신성해운(주),MBG,07,일반부두 07,2018-12-31 14:10,2018-12-31 17:05,MBG,07,일반부두 07,2018-12-31 14:10,2018-12-31 17:05,양하,2019-01-02,허가완료
34,DSRK4,2018,015,001,4.067,디엘 에메랄드,USC2046,씨에스해운,WAE,01,정박지-E1,2018-12-30 12:45,2018-12-30 19:20,WAE,01,정박지-E1,2018-12-30 12:45,2018-12-30 19:20,접안대기,2019-01-02,허가완료
35,DSRK4,2018,015,002,4.067,디엘 에메랄드,USC2046,씨에스해운,MDS,03,S-OIL3부두,2018-12-30 20:05,2018-12-31 10:30,MDS,03,S-OIL3부두,2018-12-30 20:05,2018-12-31 10:30,적하,2019-01-02,허가완료
36,DSRK4,2018,015,003,4.067,디엘 에메랄드,USC2046,씨에스해운,WAE,01,정박지-E1,2018-12-31 11:50,2019-01-01 14:16,WAE,01,정박지-E1,2018-12-31 11:50,2019-01-01 14:16,접안대기,2019-01-02,허가완료
37,DSRK4,2018,015,004,4.067,디엘 에메랄드,USC2046,씨에스해운,WAE,02,정박지-E2,2019-01-01 14:40,2019-01-01 19:00,WAE,02,정박지-E2,2019-01-01 14:40,2019-01-01 19:00,급유,2019-01-02,허가완료
38,9LU2620,2018,024,001,1.071,EKAH,USC2064,베이스타해운(주),WAE,01,정박지-E1,2018-12-29 19:30,2018-12-30 09:30,WAE,01,정박지-E1,2018-12-29 19:30,2018-12-30 09:30,접안대기,2019-01-02,허가완료
39,9LU2620,2018,024,002,1.071,EKAH,USC2064,베이스타해운(주),MBN,13,정일스톨트헤븐울산신항3부두,2018-12-30 10:35,2018-12-30 19:50,MBN,13,정일스톨트헤븐울산신항3부두,2018-12-30 10:35,2018-12-30 19:50,적하,2019-01-02,허가완료
40,120068,2019,001,002,563,창성호,BSB2436,송백해운,MDS,02,S-OIL2부두,2018-01-01 17:45,2019-01-02 00:42,MDS,02,S-OIL2부두,2018-01-01 17:45,2019-01-02 00:42,적하,2019-01-02,허가완료
41,D7CI,2018,010,001,2.677,제8에스제이가스,BSK2590,(주)에스제이탱커,WAE,01,정박지-E1,2018-12-30 04:50,2018-12-31 11:00,WAE,01,정박지-E1,2018-12-30 04:50,2018-12-31 11:00,접안대기,2019-01-02,허가완료
42,D7CI,2018,010,002,2.677,제8에스제이가스,BSK2590,(주)에스제이탱커,MDS,03,S-OIL3부두,2018-12-31 11:55,2019-01-01 03:00,MDS,03,S-OIL3부두,2018-12-31 11:55,2019-01-01 03:00,적하,2019-01-02,허가완료
