시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,VRMJ5,2019,003,001,27.969,ISLAND EXPRESS,ICC2121,주식회사 굳파트너쉬핑,WAE,02,정박지-E2,2019-10-29 15:05,2019-10-29 22:20,WAE,02,정박지-E2,2019-10-29 15:05,2019-10-29 22:20,급유,2019-11-01,허가완료
2,VRMJ5,2019,003,002,27.969,ISLAND EXPRESS,ICC2121,주식회사 굳파트너쉬핑,WAE,02,정박지-E2,2019-10-29 23:55,2019-10-30 07:05,WAE,02,정박지-E2,2019-10-29 23:55,2019-10-30 07:05,접안대기,2019-11-01,허가완료
3,VRMJ5,2019,003,003,27.969,ISLAND EXPRESS,ICC2121,주식회사 굳파트너쉬핑,MDS,01,S-OIL1부두,2019-10-30 08:00,2019-10-31 22:00,MDS,01,S-OIL1부두,2019-10-30 08:00,2019-10-31 22:00,적하,2019-11-01,허가완료
4,040651,2019,042,001,932,울산105호 ,USK2215,(주)울산선박,MQP,03,현중해양의장안벽,2019-10-28 23:00,2019-10-29 15:25,MQP,03,현중해양의장안벽,2019-10-28 23:00,2019-10-29 15:25,양하,2019-11-01,허가완료
5,040651,2019,043,001,932,울산105호 ,USK2215,(주)울산선박,MBN,27,용연부두(2선석),2019-11-02 19:00,2019-11-05 18:40,MBN,27,용연부두(2선석),2019-11-02 19:00,2019-11-05 18:40,양적하,2019-11-01,허가완료
6,DSQC6,2019,017,001,4.969,새한 캠스타,KMB1021,새한해운주식회사,WAE,01,정박지-E1,2019-10-27 11:42,2019-10-30 17:54,WAE,01,정박지-E1,2019-10-27 11:42,2019-10-30 17:54,접안대기,2019-11-01,허가완료
7,DSQC6,2019,017,002,4.969,새한 캠스타,KMB1021,새한해운주식회사,MDG,02,정일2부두,2019-10-30 18:48,2019-10-31 18:10,MDG,02,정일2부두,2019-10-30 18:48,2019-10-31 18:10,적하,2019-11-01,허가완료
8,3FGJ9,2019,002,001,50.309,GRAND PACE,OST0179,현대글로비스주식회사,MB6,02,6부두 02,2019-10-30 12:07,2019-10-30 17:10,MB6,02,6부두 02,2019-10-30 12:07,2019-10-30 17:10,양적하,2019-11-01,허가완료
9,3FGJ9,2019,002,002,50.309,GRAND PACE,OST0179,현대글로비스주식회사,MBJ,01,자동차부두 01,2019-10-30 17:30,2019-10-31 12:05,MBJ,01,자동차부두 01,2019-10-30 17:30,2019-10-31 12:05,양적하,2019-11-01,허가완료
10,V7CN8,2019,018,001,9.910,써니 아이리스,KMS8832,고려해운(주),MBC,01,신항컨테이너부두01,2019-10-29 03:00,2019-10-29 10:00,MBC,01,신항컨테이너부두01,2019-10-29 03:00,2019-10-29 10:00,양적하,2019-11-01,허가완료
11,3EUH5,2019,005,002,45.121,,OST0179,현대글로비스주식회사,MB6,02,6부두 02,2019-10-30 17:35,2019-10-31 12:05,MB6,02,6부두 02,2019-10-30 17:35,2019-10-31 12:05,적하,2019-11-01,허가완료
12,3EUH5,2019,005,003,45.121,,OST0179,현대글로비스주식회사,MBJ,01,자동차부두 01,2019-10-31 12:30,2019-10-31 22:00,MBJ,01,자동차부두 01,2019-10-31 12:30,2019-10-31 22:00,적하,2019-11-01,허가완료
13,000637,2019,050,001,1.243,울산107호,USK2215,(주)울산선박,MQP,03,현중해양의장안벽,2019-10-30 04:00,2019-11-08 15:00,MQP,03,현중해양의장안벽,2019-10-30 04:00,2019-11-08 15:00,양하,2019-11-01,허가완료
14,185303,2019,022,005,498,103동성호,BSU2685,(주)신정마린,MBN,12,현대오일터미널신항부두,2019-10-29 23:15,2019-10-30 02:25,MBN,12,현대오일터미널신항부두,2019-10-29 23:15,2019-10-30 02:25,적하,2019-11-01,허가완료
15,3FVC2,2019,005,001,59.454,MORNING CARA,OST0179,현대글로비스주식회사,MBJ,02,자동차부두 02,2019-10-30 07:18,2019-10-30 17:55,MBJ,02,자동차부두 02,2019-10-30 07:18,2019-10-30 17:55,적하,2019-11-01,허가완료
16,3EWL6,2019,001,001,29.460,SILVER ROTTERDAM,USC2068,제이앤씨쉬핑,WAE,02,정박지-E2,2019-10-21 19:06,2019-10-22 19:45,WAE,02,정박지-E2,2019-10-21 19:06,2019-10-22 19:45,접안대기,2019-11-01,허가완료
17,3FVC2,2019,005,002,59.454,MORNING CARA,OST0179,현대글로비스주식회사,MBJ,02,자동차부두 02,2019-10-31 17:48,2019-10-31 23:10,MBJ,02,자동차부두 02,2019-10-31 17:48,2019-10-31 23:10,적하,2019-11-01,허가완료
18,185303,2019,022,007,498,103동성호,BSU2685,(주)신정마린,WAE,02,정박지-E2,2019-10-30 05:35,2019-10-30 09:40,WAE,02,정박지-E2,2019-10-30 05:35,2019-10-30 09:40,양하,2019-11-01,허가완료
19,3EWL6,2019,001,004,29.460,SILVER ROTTERDAM,USC2068,제이앤씨쉬핑,MDU,07,SK7부두,2019-10-31 07:12,2019-10-31 22:05,MDU,07,SK7부두,2019-10-31 07:12,2019-10-31 22:05,양하,2019-11-01,허가완료
20,185303,2019,022,008,498,103동성호,BSU2685,(주)신정마린,MLJ,01,장생포호안,2019-10-30 10:25,2019-10-31 02:30,MLJ,01,장생포호안,2019-10-30 10:25,2019-10-31 02:30,기타,2019-11-01,허가완료
21,185303,2019,022,009,498,103동성호,BSU2685,(주)신정마린,WAE,02,정박지-E2,2019-10-31 04:00,2019-10-31 07:05,WAE,02,정박지-E2,2019-10-31 04:00,2019-10-31 07:05,양하,2019-11-01,허가완료
