시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,171051,2021,016,001,498,17쌍용호,JJK2065,쌍용통운(주),MB2,01,2부두 01,2021-06-01 10:55,2021-06-01 18:15,MB2,01,2부두 01,2021-06-01 10:55,2021-06-01 18:15,적하,2021-06-01,허가완료
2,120064,2021,033,002,999,삼원썬,USZ2578,주식회사 삼원쉬핑,MLJ,01,장생포호안,2021-05-29 09:55,2021-05-31 03:15,MLJ,01,장생포호안,2021-05-29 09:55,2021-05-31 03:15,기타,2021-06-01,허가완료
3,120064,2021,033,003,999,삼원썬,USZ2578,주식회사 삼원쉬핑,MBU,12,SK1부두 12,2021-05-31 03:30,2021-06-01 01:50,MBU,12,SK1부두 12,2021-05-31 03:30,2021-06-01 01:50,적하,2021-06-01,허가완료
4,120064,2021,034,001,999,삼원썬,USZ2578,주식회사 삼원쉬핑,WAM,01,정박지 01,2021-06-04 15:00,2021-06-04 18:20,WAM,01,정박지 01,2021-06-04 15:00,2021-06-04 18:20,기타,2021-06-01,허가완료
5,D8DB,2021,014,001,2.163,케이티에스 골드,KMA2213,케이티에스해운 주식회사,WAE,01,정박지-E1,2021-05-31 00:40,2021-05-31 12:15,WAE,01,정박지-E1,2021-05-31 00:40,2021-05-31 12:15,접안대기,2021-06-01,허가완료
6,6NMQ,2021,008,001,1.373,107한성호,BSB2331,해양해운,MWI,01,이진물양장,2021-06-01 02:50,2021-06-01 17:00,MWI,01,이진물양장,2021-06-01 02:50,2021-06-01 17:00,기타,2021-06-01,허가완료
7,970686,2021,002,001,143,신우호,BSZ9816,신우급유,MBO,06,효성부두,2021-05-31 16:05,2021-05-31 17:55,MBO,06,효성부두,2021-05-31 16:05,2021-05-31 17:55,적하,2021-06-01,허가완료
8,090211,2021,037,005,743,태진,BSZ3259,(주)천해기업,MLJ,01,장생포호안,2021-06-01 14:00,2021-06-01 15:55,MLJ,01,장생포호안,2021-06-01 14:00,2021-06-01 15:55,기타,2021-06-01,허가완료
9,076548,2021,037,001,1.534,보광토파즈,USZ1234,(주)비케이해운,WAM,02,정박지 02,2021-05-26 20:55,2021-05-26 21:25,WAM,02,정박지 02,2021-05-26 20:55,2021-05-26 21:25,기타,2021-06-01,허가완료
10,076548,2021,037,002,1.534,보광토파즈,USZ1234,(주)비케이해운,MB6,02,6부두 02,2021-05-26 22:20,2021-05-27 00:00,MB6,02,6부두 02,2021-05-26 22:20,2021-05-27 00:00,양하,2021-06-01,허가완료
11,3FXG9,2021,010,001,12.559,HSL AQUA,ICZ0830,흥아라인(주),MBO,05,정일컨부두,2021-06-03 01:00,2021-06-04 23:00,MBO,05,정일컨부두,2021-06-03 01:00,2021-06-04 23:00,양적하,2021-06-01,허가완료
12,076548,2021,037,003,1.534,보광토파즈,USZ1234,(주)비케이해운,WAM,05,정박지 05,2021-05-27 02:15,2021-05-28 01:15,WAM,05,정박지 05,2021-05-27 02:15,2021-05-28 01:15,기타,2021-06-01,허가완료
13,V7HX8,2021,010,001,9.998,흥아 제니스,ICZ0830,흥아라인(주),MBC,01,신항컨테이너부두01,2021-06-02 08:00,2021-06-03 20:00,MBC,01,신항컨테이너부두01,2021-06-02 08:00,2021-06-03 20:00,양적하,2021-06-01,허가완료
14,076548,2021,037,004,1.534,보광토파즈,USZ1234,(주)비케이해운,MDS,02,S-OIL2부두,2021-05-28 02:00,2021-05-28 07:55,MDS,02,S-OIL2부두,2021-05-28 02:00,2021-05-28 07:55,적하,2021-06-01,허가완료
15,076548,2021,037,007,1.534,보광토파즈,USZ1234,(주)비케이해운,MB6,02,6부두 02,2021-05-29 14:05,2021-05-29 16:25,MB6,02,6부두 02,2021-05-29 14:05,2021-05-29 16:25,기타,2021-06-01,허가완료
16,076548,2021,037,008,1.534,보광토파즈,USZ1234,(주)비케이해운,WAM,01,정박지 01,2021-05-29 16:50,2021-05-29 17:30,WAM,01,정박지 01,2021-05-29 16:50,2021-05-29 17:30,기타,2021-06-01,허가완료
17,941044,2021,002,002,864,제3대양호,YSK0032,(주)보성해운,WAE,03,정박지-E3,2021-05-31 13:00,2021-05-31 17:55,WAE,03,정박지-E3,2021-05-31 13:00,2021-05-31 17:55,양하,2021-06-01,허가완료
18,HONQ,2021,018,001,4.376,CRANE REGULUS,USC2069,주식회사 네오글로벌쉬핑에이전시,WAE,01,정박지-E1,2021-05-28 23:45,2021-05-31 00:50,WAE,01,정박지-E1,2021-05-28 23:45,2021-05-31 00:50,접안대기,2021-06-01,허가완료
19,HONQ,2021,018,002,4.376,CRANE REGULUS,USC2069,주식회사 네오글로벌쉬핑에이전시,MDU,04,SK4부두,2021-05-31 01:30,2021-06-01 00:15,MDU,04,SK4부두,2021-05-31 01:30,2021-06-01 00:15,양하,2021-06-01,허가완료
