시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,176801,2021,029,002,759,아크,BSB2461,노아해운,MDS,02,S-OIL2부두,2021-05-01 15:40,2021-05-01 19:55,MDS,02,S-OIL2부두,2021-05-01 15:40,2021-05-01 19:55,적하,2021-05-01,허가완료
2,088238,2021,056,002,700,3동주,USK0074,영우해운(주),MBU,01,SK2부두 01,2021-05-01 13:10,2021-05-01 21:00,MBU,01,SK2부두 01,2021-05-01 13:10,2021-05-01 21:00,적하,2021-05-01,허가완료
3,3EGQ5,2021,001,001,22.501,KEN UN,USC2062,(주)오션해운,WAE,02,정박지-E2,2021-04-22 12:54,2021-04-28 16:30,WAE,02,정박지-E2,2021-04-22 12:54,2021-04-28 16:30,접안대기,2021-05-01,허가완료
4,3EGQ5,2021,001,002,22.501,KEN UN,USC2062,(주)오션해운,MBO,03,온산3부두,2021-04-28 17:35,2021-04-30 15:55,MBO,03,온산3부두,2021-04-28 17:35,2021-04-30 15:55,양하,2021-05-01,허가완료
5,194803,2021,027,001,499,송백,MPU1065,송원해운(주),MBN,12,현대오일터미널신항부두,2021-05-01 21:50,2021-05-02 01:10,MBN,12,현대오일터미널신항부두,2021-05-01 21:50,2021-05-02 01:10,적하,2021-05-01,허가완료
6,C6VF3,2021,001,002,57.325,LIMERICK SPIRIT,USC0035,(주)쌍용에이젼시,WAB,04,벙커링전용정박지 E3,2021-05-01 05:52,2021-05-01 15:30,WAB,04,벙커링전용정박지 E3,2021-05-01 05:52,2021-05-01 15:30,급유,2021-05-01,허가완료
7,940851,2021,002,001,132,제9 원양호,BSZ7204,(주)지앤비마린서비스,MBF,01,신항남방파제T/S부두 01,2021-05-02 15:35,2021-05-02 18:00,MBF,01,신항남방파제T/S부두 01,2021-05-02 15:35,2021-05-02 18:00,기타,2021-05-01,허가완료
8,200009,2021,043,001,1.200,송양1호,USK0074,영우해운(주),MBU,01,SK2부두 01,2021-05-02 01:20,2021-05-02 10:00,MBU,01,SK2부두 01,2021-05-02 01:20,2021-05-02 10:00,적하,2021-05-01,허가완료
9,170039,2021,018,001,2.114,한유 드림,YSK0017,태하해운(주),MBG,08,일반부두 08,2021-04-28 22:30,2021-04-30 08:50,MBG,08,일반부두 08,2021-04-28 22:30,2021-04-30 08:50,접안대기,2021-05-01,허가완료
10,170039,2021,018,002,2.114,한유 드림,YSK0017,태하해운(주),MBU,01,SK2부두 01,2021-04-30 09:30,2021-05-01 01:55,MBU,01,SK2부두 01,2021-04-30 09:30,2021-05-01 01:55,적하,2021-05-01,허가완료
11,DSNG8,2021,017,001,332,코롤 1호,USC2029,케이오엘 (주),MBK,01,달포부두 01,2021-05-01 21:50,2021-05-02 18:00,MBK,01,달포부두 01,2021-05-01 21:50,2021-05-02 18:00,기타,2021-05-01,허가완료
12,D8DB,2021,010,001,2.163,케이티에스 골드,KMA2213,케이티에스해운 주식회사,MDY,02,UTT부두,2021-04-30 21:50,2121-05-01 10:50,MDY,02,UTT부두,2021-04-30 21:50,2121-05-01 10:50,적하,2021-05-01,허가완료
13,130060,2021,033,002,751,대경에이스,BSZ7090,에이치비씨해운 주식회사,MBK,01,달포부두 01,2021-05-01 09:10,2021-05-01 13:55,MBK,01,달포부두 01,2021-05-01 09:10,2021-05-01 13:55,적하,2021-05-01,허가완료
14,130060,2021,034,001,751,대경에이스,BSZ7090,에이치비씨해운 주식회사,MLJ,01,장생포호안,2021-05-02 07:10,2021-05-03 02:10,MLJ,01,장생포호안,2021-05-02 07:10,2021-05-03 02:10,기타,2021-05-01,허가완료
