시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,124810,2021,010,001,454,3동명호,BSZ7472,목림마린(주),MBO,02,온산2부두,2021-02-24 18:10,2021-02-24 22:30,MBO,02,온산2부두,2021-02-24 18:10,2021-02-24 22:30,적하,2021-03-01,허가완료
2,200009,2021,026,001,1.200,송양1호,USK0074,영우해운(주),WAM,01,정박지 01,2021-03-01 09:50,2021-03-01 19:30,WAM,01,정박지 01,2021-03-01 09:50,2021-03-01 19:30,접안대기,2021-03-01,허가완료
3,200013,2021,027,002,1.998,유성,USK0074,영우해운(주),MBU,01,SK2부두 01,2021-03-01 08:20,2021-03-01 20:20,MBU,01,SK2부두 01,2021-03-01 08:20,2021-03-01 20:20,적하,2021-03-01,허가완료
4,200013,2021,027,003,1.998,유성,USK0074,영우해운(주),WAM,01,정박지 01,2021-03-01 19:40,2021-03-02 20:00,WAM,04,정박지 04,2021-03-01 19:40,2021-03-02 20:00,출항대기,2021-03-01,허가완료
5,192827,2021,023,001,1.998,우성,USK0074,영우해운(주),MBU,01,SK2부두 01,2021-03-02 18:40,2021-03-03 05:00,MBU,01,SK2부두 01,2021-03-02 18:40,2021-03-03 05:00,적하,2021-03-01,허가완료
6,184803,2021,020,001,1.995,진양1호,USK0074,영우해운(주),WAM,02,정박지 02,2021-03-03 13:00,2021-03-03 20:30,WAM,02,정박지 02,2021-03-03 13:00,2021-03-03 20:30,접안대기,2021-03-01,허가완료
7,DSNG8,2021,008,001,332,코롤 1호,USC2029,케이오엘 (주),MBK,01,달포부두 01,2021-03-01 14:00,2021-03-10 09:00,MBK,01,달포부두 01,2021-03-01 14:00,2021-03-10 09:00,적하,2021-03-01,허가완료
8,166802,2021,021,001,1.502,한동20호,USK0074,영우해운(주),WAM,01,정박지 01,2021-03-03 08:40,2021-03-03 10:00,WAM,01,정박지 01,2021-03-03 08:40,2021-03-03 10:00,접안대기,2021-03-01,허가완료
9,088238,2021,030,001,700,3동주,USK0074,영우해운(주),MBU,02,SK2부두 02,2021-03-01 12:30,2021-03-01 20:00,MBU,02,SK2부두 02,2021-03-01 12:30,2021-03-01 20:00,적하,2021-03-01,허가완료
10,DSNA3,2021,009,001,1.941,제1한미르호,USK0074,영우해운(주),WAM,01,정박지 01,2021-03-02 11:20,2021-03-03 20:00,WAM,01,정박지 01,2021-03-02 11:20,2021-03-03 20:00,접안대기,2021-03-01,허가완료
11,V7XT6,2021,001,003,162.203,CHLOE V,USC0035,(주)쌍용에이젼시,MUD,02,S-OIL 2부이,2021-02-28 08:00,2021-03-01 22:00,MUD,02,S-OIL 2부이,2021-02-28 08:00,2021-03-01 22:00,양하,2021-03-01,허가완료
12,V7ZQ9,2021,003,001,20.920,STARSHIP LEO,KMS8833,남성해운(주),MBO,05,정일컨부두,2021-02-27 00:00,2021-03-28 05:00,MBO,05,정일컨부두,2021-02-27 00:00,2021-03-28 05:00,양적하,2021-03-01,허가완료
13,185303,2021,017,001,498,103동성호,BSU2685,(주)신정마린,MLJ,01,장생포호안,2021-03-01 14:30,2021-03-01 20:00,MLJ,01,장생포호안,2021-03-01 14:30,2021-03-01 20:00,기타,2021-03-01,허가완료
14,DSRL9,2021,003,001,2.369,골든 아이 하나,BSK2514,하나마린(주),MB7,01,7부두 01,2021-02-27 11:10,2021-02-27 17:30,MB7,01,7부두 01,2021-02-27 11:10,2021-02-27 17:30,기타,2021-03-01,허가완료
15,DSRL9,2021,003,002,2.369,골든 아이 하나,BSK2514,하나마린(주),MBN,14,정일스톨트헤븐울산신항4부두,2021-02-28 09:40,2021-03-01 04:40,MBN,14,정일스톨트헤븐울산신항4부두,2021-02-28 09:40,2021-03-01 04:40,적하,2021-03-01,허가완료
16,SVCC5,2021,001,001,159.867,HAKONE,USC0035,(주)쌍용에이젼시,WAE,03,정박지-E3,2021-03-01 17:00,2021-03-01 17:30,WAE,03,정박지-E3,2021-03-01 17:00,2021-03-01 17:30,기타,2021-03-01,허가완료
