선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20180301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20180331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
인천,VROF4,SITC HEBEI,2018,002,최종,외항,입항,"17,119","17,119","17,119",2018-03-01 00:30,2018-03-02 00:01,2018-03-01 00:30,2018-03-05 10:04,기타,18SCLK60HNI,HK,홍콩,MBI,02,인천 컨테이너터미널 2부두,QINGDAO,대산,풀컨테이너선,,19,,Y,Y,,
부산,BICQ,TS TAICHUNG,2018,002,최종,외항,입항,"27,104","27,104","27,104",2018-03-01 01:00,2018-03-01 18:00,2018-03-01 01:00,2018-03-02 11:14,기타,18TSLUBA23I,TW,대만,MB6,03,자성대부두 63선석,광양,SHANGHAI,풀컨테이너선,,21,,Y,Y,,
여수,C6BL6,OBROVAC,2018,001,최종,외항,입항,"23,400","23,400","23,400",2018-03-01 01:12,2018-03-02 16:55,2018-03-01 02:12,2018-03-05 13:38,기타,18YOUNDA34I,HR,크로아티아,WAD,02,정박지D-2구역,VANCOUVER,QINGDAO,일반화물선,,20,0,N,Y,,
