선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20180101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20180131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
여수,DSMA6,에스에스 썬,2018,001,최종,외항,입항,"1,952","1,952","1,952",2018-01-01 00:50,2018-01-01 10:10,2018-01-01 00:05,2018-01-02 09:34,기타,18LUMAY253I,KR,대한민국,WAA,04,정박지W구역(A4),평택.당진,YOKOHAMA,일반화물선,3,9,0,N,N,,
광양,H9ND,런롱,2018,001,최종,외항,입항,"7,401","7,401","7,401",2018-01-01 00:55,2018-01-01 05:55,2018-01-01 00:55,2018-01-09 09:55,기타,18NSSLL375I,KR,대한민국,MB7,0F,컨테이너부두3단계1차 7F선석,TIANJIN XINGANG PT,울산,풀컨테이너선,7,8,0,N,N,,
광양,3FKZ5,EASLINE SHANGHAI,2018,001,최종,외항,입항,"9,601","9,601","9,601",2018-01-01 01:00,2018-01-01 06:00,2018-01-01 01:00,2018-01-25 10:58,기타,17EASK2215I,PA,파나마,MB7,0A,컨테이너부두2단계2차 7A선석,SHANGHAI,부산,풀컨테이너선,,20,0,Y,Y,,
부산,D5ZJ5,MSC DAISY,2018,001,최종,외항,입항,"54,271","54,271","54,271",2018-01-01 01:00,2018-01-02 14:00,2018-01-01 01:00,2018-01-02 09:11,기타,18XPRS1001I,MT,몰타,MSN,04,신항 2부두 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,풀컨테이너선,,20,,Y,Y,,
부산,V7ER5,SUNNY LILY,2018,001,최종,외항,입항,"9,988","9,988","9,988",2018-01-01 01:00,2018-01-01 18:30,2018-01-01 01:00,2018-01-02 09:56,기타,18KMTC0167I,MH,마샬 제도,MB6,04,자성대부두 64선석,광양,MURORAN,풀컨테이너선,5,13,,N,N,,
부산,V7HU7,SEAMAX FAIRFIELD,2018,001,최종,외항,입항,"90,389","90,389","90,389",2018-01-01 01:00,2018-01-02 10:00,2018-01-01 01:00,2018-01-02 09:12,기타,18YMLU0026I,MH,마샬 제도,MSN,06,신항 2부두 3선석,KAOHSIUNG,BALBOA,풀컨테이너선,,23,1,Y,Y,,
부산,V7ON6,CAPE FAWLEY,2018,001,최종,외항,입항,"15,995","15,995","15,995",2018-01-01 01:00,2018-01-01 14:00,2018-01-01 01:00,2018-01-02 09:58,기타,18TSLUBA01I,MH,마샬 제도,MBR,04,감만부두 4선석,광양,MOJI/KITAKYUSHU,풀컨테이너선,,19,,Y,Y,,
부산,VRBV5,SINOTRANS HONGKONG,2018,001,최종,외항,입항,"9,590","9,590","9,590",2018-01-01 01:00,2018-01-01 18:41,2018-01-01 01:00,2018-01-02 09:55,기타,18COHES311I,HK,홍콩,MBS,02,신선대부두 2선석,광양,SHANGHAI,풀컨테이너선,,20,,Y,Y,,
광양,9V9093,SINAR BANGKA,2018,001,최종,외항,입항,"12,563","12,563","12,563",2018-01-01 01:20,2018-01-01 08:40,2018-01-01 01:20,2018-01-02 14:06,기타,18KMTC0166I,SG,싱가포르,MB7,0B,컨테이너부두2단계2차 7B선석,부산,HONG KONG,풀컨테이너선,,20,0,Y,Y,,
울산,DSPH7,에이와마루 7,2018,001,최종,외항,입항,498,739,498,2018-01-01 01:20,2018-01-04 17:25,2018-01-01 03:30,2018-01-08 08:19,기타,18GRTSG001I,KR,대한민국,MDG,01,정일1부두,YOKKAICHI,JIANGYIN PT,케미칼 운반선,4,6,,N,N,,
부산,H9RD,ONE MILLAU,2018,001,최종,외항,입항,"150,709","150,709","150,709",2018-01-01 01:30,2018-01-01 20:55,2018-01-01 01:30,2018-01-04 09:52,기타,18KKLUM002I,JP,일본,MSN,08,신항 2부두 5선석,NINGBO,HONG KONG,풀컨테이너선,4,19,,Y,Y,,
여천,DSQF6,제이호프호,2018,001,최종,외항,입항,"5,667","5,667","5,667",2018-01-01 01:45,2018-01-13 18:25,2018-01-01 01:45,2018-01-02 12:09,기타,18YSTMDF01I,KR,대한민국,WAA,02,정박지B구역(A2),SINGAPORE,부산,케미칼 운반선,6,14,0,Y,N,,
