선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20170301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20170331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
광양,D7SB,동진보이저,2017,1,최종,외항,입항,"18,278","18,278","18,278",2017-03-01 0:05,2017-03-01 6:50,2017-03-01 0:05,2017-03-02 13:56,기타,17DJSC700KI,KR,대한민국,MB7,6,컨테이너부두2단계1차 76선석,부산,평택.당진,풀컨테이너선,7,8,1,Y,Y,,
울산,3FCD4,알 오션,2017,5,최종,외항,입항,"2,654","2,962","2,654",2017-03-01 0:15,2017-03-02 15:55,2017-03-01 1:00,2017-03-05 16:26,기타,17KMBCA057I,KR,대한민국,MBU,1,SK2부두 01,NANJING,NINGBO,석유제품 운반선,9,5,,Y,N,,
여천,DSPC6,겔럭시 삼부,2017,3,최종,외항,입항,"2,101","2,479","2,101",2017-03-01 0:25,2017-03-01 16:45,2017-03-01 0:25,2017-03-02 8:57,일시외항,17SBSH2050I,KR,대한민국,MBJ,2,중흥부두 J2선석,TAKASAGO,LIANYUNGANG,케미칼 운반선,12,3,0,Y,N,,
