선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20180401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20180430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,3EGD6,SITC NAGOYA,2018,004,최종,외항,입항,"9,531","9,531","9,531",2018-04-01 00:00,2018-04-01 09:00,2018-04-01 00:00,2018-04-02 09:49,기타,18SCLKP808I,PA,파나마,MBR,E2,신감만부두 2선석,SHANGHAI,SHIMIZU,풀컨테이너선,,18,,Y,Y,,
부산,C6EK6,CMA CGM HYDRA,2018,003,최종,외항,입항,"128,600","128,600","128,600",2018-04-01 00:01,2018-04-01 22:00,2018-04-01 00:01,2018-04-02 08:47,기타,18CMAL0100I,GB,영국,MSN,06,신항 2부두 3선석,SHANGHAI,MANZANILLO,풀컨테이너선,,24,1,Y,Y,,
부산,D5AX9,NOBILITY,2018,014,최종,외항,입항,"9,998","9,998","9,998",2018-04-01 00:01,2018-04-01 12:00,2018-04-01 00:01,2018-04-02 08:47,기타,18HLCU1105I,LR,라이베리아,MSN,08,신항 2부두 5선석,HAKATA/FUKUOKA,KOBE,풀컨테이너선,,19,,Y,Y,,
