선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20170101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20170131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,9VHZ8,WAN HAI 261,2017,1,최종,외항,입항,"18,872","18,872","18,872",2017-01-01 0:01,2017-01-01 8:50,2017-01-01 1:00,2017-01-02 9:25,기타,16WHLUJ052I,SG,싱가포르,MBR,E1,신감만부두 1선석,TAIPEI,울산,풀컨테이너선,,20,,N,N,,
여천,3FBD4,SEA CRYSTAL,2017,1,최종,외항,입항,"11,290","11,290","11,290",2017-01-01 0:20,2017-01-03 13:00,2017-01-01 0:20,2017-01-02 10:31,기타,17NGSCN005I,PA,파나마,WAA,4,정박지W구역(A4),SINGAPORE,JIANGYIN PT,케미칼 운반선,9,11,0,Y,Y,,
여수,UHRS,RUBIN,2017,1,최종,외항,입항,695,994,695,2017-01-01 0:20,2017-01-01 3:00,2017-01-01 0:20,2017-01-02 15:39,기타,17SYLKAB02I,KR,대한민국,WAA,4,정박지W구역(A4),NANTONG PT,IWAKUNI,케미칼 운반선,10,2,0,Y,Y,,
