선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20180501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20180531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,V7PX6,HYUNDAI UNITY,2018,005,최종,외항,입항,"52,581","52,581","52,581",2018-05-01 00:05,2018-05-01 14:00,2018-05-01 00:05,2018-05-02 09:08,기타,18HDMUA606I,MH,마샬 제도,MS4,03,신항 4부두 3선석,광양,VANCOUVER,풀컨테이너선,4,19,,Y,Y,,
부산,V7ER5,SUNNY LILY,2018,016,최종,외항,입항,"9,988","9,988","9,988",2018-05-01 00:06,2018-05-02 02:00,2018-05-01 00:06,2018-05-02 10:43,기타,18KMTC1732I,MH,마샬 제도,MB6,02,자성대부두 62선석,광양,TOMAKOMAI,풀컨테이너선,6,12,,N,N,,
광양,VRMM2,WAN HAI 203,2018,005,최종,외항,입항,"17,134","17,134","17,134",2018-05-01 00:15,2018-05-01 04:00,2018-05-01 00:15,2018-05-02 09:45,기타,18IALKK001I,HK,홍콩,MB7,06,컨테이너부두2단계1차 76선석,KEELUNG (CHILUNG),울산,풀컨테이너선,,22,,Y,Y,,
