선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20170401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20170430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,OWJN2,MAYVIEW MAERSK,2017,002,최종,외항,입항,"194,849","194,849","194,849",2017-04-01 00:00,2017-04-02 00:00,2017-04-01 00:00,2017-04-03 10:43,기타,17MAEU2337I,DK,덴마크,MSN,03,신항 1부두 3선석,NINGBO,QINGDAO,풀컨테이너선,,22,,Y,Y,,
부산,UBMI3,START,2017,001,최종,외항,입항,688,688,688,2017-04-01 00:00,2017-04-29 16:00,2017-04-01 01:00,2017-05-04 18:52,기타,17KWLLM034I,RU,러시아,WAN,03,남외항 N-3박지,VLADIVOSTOK,EGYPT /OTHER-PORT/,원양 어선,,16,,N,N,,
여천,VRIG2,지하이 셩,2017,001,최종,외항,입항,"18,084","18,084","18,084",2017-04-01 00:00,2017-04-10 16:00,2017-04-01 00:00,2017-04-05 09:52,기타,17LNCML246I,HK,홍콩,WAA,04,정박지W구역(A4),TAIZHOU,TAIZHOU,일반화물선,,21,0,Y,Y,,
