선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20181101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20181130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,C6BX3,카라벨,2018,001,최종,외항,입항,"47,379","47,379","47,379",2018-11-01 00:06,2018-11-02 23:48,2018-11-01 00:06,2018-11-09 12:36,기타,18SMTA1101I,BS,바하마,WAN,04,남외항 N-4박지,OCEAN DISTRICT,OITA,LPG 운반선,,22,,N,N,,
울산,BURH,NING HUA 420,2018,002,최종,외항,입항,"2,834","2,834","2,834",2018-11-01 00:10,2018-11-05 02:10,2018-11-01 01:00,2018-11-05 17:20,기타,18SLINU939I,CN,중국,MDG,02,정일2부두,TAIXING,TAIXING,케미칼 운반선,,17,,N,N,,
광양,D7BT,에스엠 부산,2018,014,최종,외항,입항,"74,962","74,962","74,962",2018-11-01 00:12,2018-11-01 15:48,2018-11-01 00:12,2018-11-02 13:27,기타,18SMLM1224I,PA,파나마,MB7,06,컨테이너부두2단계1차 76선석,부산,SHANGHAI,풀컨테이너선,16,6,,Y,Y,,
