선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : 외항입항,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20170201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20170228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원(한국인),승무원(외국인),승객,예선,도선,부선호출부호1,부선호출부호2
부산,LXVQ,E.R. VANCOUVER,2017,002,최종,외항,입항,"83,133","83,133","83,133",2017-02-01 00:01,2017-02-01 22:00,2017-02-01 00:01,2017-02-01 08:40,기타,17MSCU3024I,LU,룩셈부르크,MSN,06,신항 2부두 3선석,VANCOUVER,SHANGHAI,풀컨테이너선,,22,,Y,Y,,
포항신항,9LU2551,SHENG XIANG,2017,001,최종,외항,입항,"1,882","1,882","1,882",2017-02-01 00:05,2017-02-05 21:50,2017-02-01 00:05,2017-02-03 17:31,기타,17L46KA030I,FM,미크로네시아,MB8,2B,8부두 82선석 B,KAWASAKI,KAWASAKI,일반화물선,,11,,Y,Y,,
평택,BKNF6,YONG JUN 101,2017,001,최종,외항,입항,"4,675","4,675","4,675",2017-02-01 00:20,2017-02-01 16:50,2017-02-01 00:20,2017-02-01 13:49,기타,17YBSSA041I,CN,중국,MBH,11,송악부두 11번선석,TAICHUNG,TAICHUNG,일반화물선,,14,,Y,Y,,
