시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,971559,2020,026,001,187,제3오션호,BSK3335,(주)오성유업,MLJ,01,장생포호안,2020-07-01 09:40,2020-07-01 22:00,MLJ,01,장생포호안,2020-07-01 09:40,2020-07-01 22:00,기타,2020-07-01,허가완료
2,150040,2020,054,001,999,한유비전,YSK0017,태하해운(주),WAM,01,정박지 01,2020-07-01 13:45,2020-07-01 18:10,WAM,01,정박지 01,2020-07-01 13:45,2020-07-01 18:10,기타,2020-07-01,허가완료
3,090211,2020,064,004,743,태진,BSZ3259,(주)천해기업,MBO,01,온산1부두,2020-06-30 23:50,2020-07-01 03:05,MBO,01,온산1부두,2020-06-30 23:50,2020-07-01 03:05,적하,2020-07-01,허가완료
4,130063,2020,007,001,149,13대신호,BSB2344,명성마린,MLJ,01,장생포호안,2020-06-29 14:55,2020-06-29 19:25,MLJ,01,장생포호안,2020-06-29 14:55,2020-06-29 19:25,기타,2020-07-01,허가완료
5,130063,2020,007,002,149,13대신호,BSB2344,명성마린,MBU,01,SK2부두 01,2020-06-29 19:35,2020-06-30 00:00,MBU,01,SK2부두 01,2020-06-29 19:35,2020-06-30 00:00,적하,2020-07-01,허가완료
6,130063,2020,007,003,149,13대신호,BSB2344,명성마린,MLJ,01,장생포호안,2020-06-30 00:15,2020-06-30 09:20,MLJ,01,장생포호안,2020-06-30 00:15,2020-06-30 09:20,기타,2020-07-01,허가완료
7,130063,2020,007,004,149,13대신호,BSB2344,명성마린,MBF,02,신항남방파제T/S부두 02,2020-06-30 10:30,2020-06-30 14:15,MBF,02,신항남방파제T/S부두 02,2020-06-30 10:30,2020-06-30 14:15,양하,2020-07-01,허가완료
8,130063,2020,007,005,149,13대신호,BSB2344,명성마린,MLJ,01,장생포호안,2020-06-30 15:00,2020-06-30 16:30,MLJ,01,장생포호안,2020-06-30 15:00,2020-06-30 16:30,기타,2020-07-01,허가완료
9,130063,2020,007,006,149,13대신호,BSB2344,명성마린,MBU,01,SK2부두 01,2020-06-30 16:40,2020-06-30 19:55,MBU,01,SK2부두 01,2020-06-30 16:40,2020-06-30 19:55,적하,2020-07-01,허가완료
10,130063,2020,007,007,149,13대신호,BSB2344,명성마린,MLJ,01,장생포호안,2020-06-30 20:05,2020-07-01 03:05,MLJ,01,장생포호안,2020-06-30 20:05,2020-07-01 03:05,기타,2020-07-01,허가완료
11,190025,2020,012,001,1.002,케이 가스,BSK2590,(주)에스제이탱커,WAM,07,정박지 07,2020-06-30 21:00,2020-07-01 04:45,WAM,07,정박지 07,2020-06-30 21:00,2020-07-01 04:45,접안대기,2020-07-01,허가완료
12,DSOW9,2020,008,001,9.522,,KMS8833,남성해운(주),MBC,01,신항컨테이너부두01,2020-06-30 16:18,2020-07-01 00:03,MBC,01,신항컨테이너부두01,2020-06-30 16:18,2020-07-01 00:03,양적하,2020-07-01,허가완료
