시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,130064,2020,021,001,431,에이원,BSZ9145,유니온쉬핑(주),MLJ,01,장생포호안,2020-08-01 08:00,2020-08-01 11:55,MLJ,01,장생포호안,2020-08-01 08:00,2020-08-01 11:55,기타,2020-08-01,허가완료
2,130064,2020,021,002,431,에이원,BSZ9145,유니온쉬핑(주),MBU,02,SK2부두 02,2020-08-01 12:05,2020-08-01 16:30,MBU,02,SK2부두 02,2020-08-01 12:05,2020-08-01 16:30,적하,2020-08-01,허가완료
3,D7SC,2020,039,002,1.772,스카이케미,BSZ7486,정우해운주식회사,MBU,12,SK1부두 12,2020-07-31 10:00,2020-08-01 01:30,MBU,12,SK1부두 12,2020-07-31 10:00,2020-08-01 01:30,적하,2020-08-01,허가완료
4,D7SC,2020,040,001,1.772,스카이케미,BSZ7486,정우해운주식회사,WAM,01,정박지 01,2020-08-03 01:45,2020-08-03 14:40,WAM,01,정박지 01,2020-08-03 01:45,2020-08-03 14:40,기타,2020-08-01,허가완료
5,200013,2020,035,001,1.998,유성,USK0074,영우해운(주),MBU,01,SK2부두 01,2020-08-02 04:30,2020-08-02 11:30,MBU,01,SK2부두 01,2020-08-02 04:30,2020-08-02 11:30,적하,2020-08-01,허가완료
6,162805,2020,033,001,337,금창골드호,YSK2030,(유)금창해운,MBU,02,SK2부두 02,2020-07-31 14:00,2020-07-31 17:55,MBU,02,SK2부두 02,2020-07-31 14:00,2020-07-31 17:55,적하,2020-08-01,허가완료
7,DSQT8,2020,031,001,1.698,스타 호프,BSG9001,효동선박(주),WAM,03,정박지 03,2020-07-28 14:40,2020-08-01 07:10,WAM,06,정박지 06,2020-07-28 14:40,2020-08-01 07:10,접안대기,2020-08-01,허가완료
8,DSMS2,2020,036,001,3.969,우춘,YSK0025,상지해운(주),MBR,01,UTK부두,2020-07-22 13:30,2020-07-23 10:00,MBR,01,UTK부두,2020-07-22 13:30,2020-07-23 10:00,양하,2020-08-01,허가완료
9,DSMS2,2020,037,001,3.969,우춘,YSK0025,상지해운(주),MDY,02,UTT부두,2020-07-25 11:00,2020-07-26 10:30,MDY,02,UTT부두,2020-07-25 11:00,2020-07-26 10:30,양하,2020-08-01,허가완료
10,132820,2020,023,001,450,13거영호,YSK2007,(주)거영해운,WAM,05,정박지 05,2020-08-01 23:50,2020-08-02 01:00,WAM,05,정박지 05,2020-08-01 23:50,2020-08-02 01:00,접안대기,2020-08-01,허가완료
