시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,3FND8,2020,002,001,156.336,SM WHITE WHALE1,OST0006,대한해운(주）,MUT,01,석유공사부이,2020-03-04 08:00,2020-03-09 12:00,MUT,01,석유공사부이,2020-03-04 08:00,2020-03-09 12:00,양하,2020-03-01,허가완료
2,DSME,2020,006,001,8.072,우림 7,ICK0006,우림해운(주),WAE,01,정박지-E1,2020-02-27 00:20,2020-02-27 12:40,WAE,01,정박지-E1,2020-02-27 00:20,2020-02-27 12:40,접안대기,2020-03-01,허가완료
3,DSME,2020,006,002,8.072,우림 7,ICK0006,우림해운(주),MB8,01,8부두 01,2020-02-27 13:35,2020-02-27 21:00,MB8,01,8부두 01,2020-02-27 13:35,2020-02-27 21:00,기타,2020-03-01,허가완료
4,DSME,2020,006,003,8.072,우림 7,ICK0006,우림해운(주),WAE,01,정박지-E1,2020-02-27 21:45,2020-02-28 08:20,WAE,01,정박지-E1,2020-02-27 21:45,2020-02-28 08:20,접안대기,2020-03-01,허가완료
5,DSME,2020,006,004,8.072,우림 7,ICK0006,우림해운(주),MDS,02,S-OIL2부두,2020-02-28 09:20,2020-02-29 13:50,MDS,02,S-OIL2부두,2020-02-28 09:20,2020-02-29 13:50,적하,2020-03-01,허가완료
6,180017,2020,021,002,919,동명에이스,BSB2479,동명해운,MLJ,01,장생포호안,2020-03-01 15:00,2020-03-01 22:05,MLJ,01,장생포호안,2020-03-01 15:00,2020-03-01 22:05,기타,2020-03-01,허가완료
7,130008,2020,021,002,532,건양호,BSK2613,천배유조(주),MBU,01,SK2부두 01,2020-03-01 20:25,2020-03-02 00:55,MBU,01,SK2부두 01,2020-03-01 20:25,2020-03-02 00:55,적하,2020-03-01,허가완료
8,130037,2020,019,003,534,송원호,MPU1065,송원해운(주),MBN,12,현대오일터미널신항부두,2020-03-01 19:45,2020-03-01 22:35,MBN,12,현대오일터미널신항부두,2020-03-01 19:45,2020-03-01 22:35,적하,2020-03-01,허가완료
9,DSQF5,2020,005,001,3.586,성호피오스,OST0091,성호해운(주),MDY,02,UTT부두,2020-02-28 13:45,2020-02-29 04:00,MDY,02,UTT부두,2020-02-28 13:45,2020-02-29 04:00,양하,2020-03-01,허가완료
10,3EMU8,2020,004,001,7.675,CS SUMMER,USC0031,그레이트해운(주),MBN,15,정일스톨트헤븐울산신항5부두,2020-02-28 20:15,2020-02-29 19:25,MBN,15,정일스톨트헤븐울산신항5부두,2020-02-28 20:15,2020-02-29 19:25,적하,2020-03-01,허가완료
11,3WPG,2020,002,001,25.400,PETROLIMEX 09,USC2069,주식회사 네오글로벌쉬핑에이전시,MDU,06,SK6부두,2020-02-28 15:05,2020-02-29 20:10,MDU,06,SK6부두,2020-02-28 15:05,2020-02-29 20:10,적하,2020-03-01,허가완료
12,130047,2020,009,001,460,명진호,BSZ7248,(주)에우스마린,MBN,12,현대오일터미널신항부두,2020-03-01 14:55,2020-03-01 18:15,MBN,12,현대오일터미널신항부두,2020-03-01 14:55,2020-03-01 18:15,양하,2020-03-01,허가완료
13,130079,2020,021,001,424,대정,BSB2154,대정마린(주),MBN,12,현대오일터미널신항부두,2020-03-02 15:25,2020-03-02 18:20,MBN,12,현대오일터미널신항부두,2020-03-02 15:25,2020-03-02 18:20,기타,2020-03-02,허가완료
14,110092,2020,003,001,266,11세양호,BSZ7236,(주)월명,MBN,12,현대오일터미널신항부두,2020-03-02 11:10,2020-03-02 12:10,MBN,12,현대오일터미널신항부두,2020-03-02 11:10,2020-03-02 12:10,적하,2020-03-02,허가완료
15,130093,2020,010,001,699,삼원,BSK3254,삼원쉬핑 주식회사,WAM,01,정박지 01,2020-03-02 09:20,2020-03-04 15:05,WAM,01,정박지 01,2020-03-02 09:20,2020-03-04 15:05,기타,2020-03-02,허가완료
16,DSQV9,2020,008,001,2.042,고려 305호,USK0053,대상해운(주),MQP,03,현중해양의장안벽,2020-02-29 23:40,2020-03-03 08:00,MQP,03,현중해양의장안벽,2020-02-29 23:40,2020-03-03 08:00,양하,2020-03-02,허가완료
17,D7RE,2020,002,002,3.465,NO.9 SJ GAS,BSK2590,(주)에스제이탱커,MDU,05,SK5부두,2020-02-29 18:30,2020-03-01 08:36,MDU,05,SK5부두,2020-02-29 18:30,2020-03-01 08:36,양하,2020-03-02,허가완료
18,D7RE,2020,002,003,3.465,NO.9 SJ GAS,BSK2590,(주)에스제이탱커,MB6,05,6부두 05,2020-03-01 12:30,2020-03-01 23:06,MB6,05,6부두 05,2020-03-01 12:30,2020-03-01 23:06,기타,2020-03-02,허가완료
19,3EWD3,2020,006,002,3.765,CRANE LUNA,USC2069,주식회사 네오글로벌쉬핑에이전시,MDU,04,SK4부두,2020-02-27 15:15,2020-02-28 10:25,MDU,04,SK4부두,2020-02-27 15:15,2020-02-28 10:25,양하,2020-03-02,허가완료
20,HZFD,2020,001,001,29.168,NCC SAMA,USC1006,윌헴슨협운쉽스서비스(주),MDU,03,SK3부두,2020-02-27 09:35,2020-02-28 08:35,MDU,03,SK3부두,2020-02-27 09:35,2020-02-28 08:35,양하,2020-03-02,허가완료
21,9VDB8,2020,003,001,26.681,WAN HAI 302,KMC0211,만해항운한국(주),MBC,02,신항컨테이너부두02,2020-03-01 09:18,2020-03-02 03:55,MBC,02,신항컨테이너부두02,2020-03-01 09:18,2020-03-02 03:55,양적하,2020-03-02,허가완료
22,HZFD,2020,001,003,29.168,NCC SAMA,USC1006,윌헴슨협운쉽스서비스(주),MB3,02,3부두 02,2020-02-29 08:00,2020-02-29 21:35,MB3,02,3부두 02,2020-02-29 08:00,2020-02-29 21:35,양하,2020-03-02,허가완료
23,A8ZM8,2020,001,001,29.744,FPMC 29,USC0005,세양해운(주),MBA,01,양곡부두,2020-02-29 16:00,2020-03-01 10:00,MBA,01,양곡부두,2020-02-29 16:00,2020-03-01 10:00,양하,2020-03-02,허가완료
24,9LY2646,2020,001,001,8.385,CHANG LIAN HAI,USC2043,일진해운(주),WAE,01,정박지-E1,2020-02-20 13:10,2020-02-22 06:20,WAE,01,정박지-E1,2020-02-20 13:10,2020-02-22 06:20,접안대기,2020-03-02,허가완료
