시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,088238,2020,111,001,700,3동주,USK0074,영우해운(주),MLJ,01,장생포호안,2020-09-01 11:20,2020-09-03 19:00,MLJ,01,장생포호안,2020-09-01 11:20,2020-09-03 19:00,접안대기,2020-09-01,허가완료
2,VRCH2,2020,004,001,8.562,SC GUOJI,USZ1258,하이코해운 주식회사 울산지사,WAE,01,정박지-E1,2020-08-28 09:00,2020-08-31 07:10,WAE,01,정박지-E1,2020-08-28 09:00,2020-08-31 07:10,접안대기,2020-09-01,허가완료
3,VRCH2,2020,004,002,8.562,SC GUOJI,USZ1258,하이코해운 주식회사 울산지사,MDU,03,SK3부두,2020-08-31 08:00,2020-08-31 19:55,MDU,03,SK3부두,2020-08-31 08:00,2020-08-31 19:55,적하,2020-09-01,허가완료
4,VRLF2,2020,001,001,6.152,TIGER SPRING,USC2064,베이스타해운(주),WAE,01,정박지-E1,2020-08-30 03:40,2020-08-30 23:30,WAE,01,정박지-E1,2020-08-30 03:40,2020-08-30 23:30,접안대기,2020-09-01,허가완료
5,038256,2020,071,003,456,태천2호,USK2241,현대광업(주),MB9,01,9부두 01,2020-08-27 10:55,2020-08-28 18:50,MB9,01,9부두 01,2020-08-27 10:55,2020-08-28 18:50,기타,2020-09-01,허가완료
6,038256,2020,072,001,456,태천2호,USK2241,현대광업(주),MB9,01,9부두 01,2020-08-30 04:25,2020-08-30 11:30,MB9,01,9부두 01,2020-08-30 04:25,2020-08-30 11:30,양하,2020-09-01,허가완료
7,V7A4256,2020,001,001,71.837,,BSZ9290,바다해운(주),WAE,03,정박지-E3,2020-08-28 13:12,2020-08-31 10:47,WAE,03,정박지-E3,2020-08-28 13:12,2020-08-31 10:47,통과선박,2020-09-01,허가완료
8,110069,2020,019,006,999,,BSK9412,대복해운(주),MDS,01,S-OIL1부두,2020-08-31 10:10,2020-08-31 21:55,MDS,01,S-OIL1부두,2020-08-31 10:10,2020-08-31 21:55,적하,2020-09-01,허가완료
9,DSRA4,2020,009,001,13.151,시노코 홍콩,OSL0038,장금상선(주),MBO,05,정일컨부두,2020-08-31 16:12,2020-08-31 22:18,MBO,05,정일컨부두,2020-08-31 16:12,2020-08-31 22:18,양적하,2020-09-01,허가완료
10,D5DR2,2020,001,001,10.899,DONALD,USC0005,세양해운(주),WAB,02,벙커링전용정박지 E2,2020-08-28 08:00,2020-08-28 16:17,WAB,02,벙커링전용정박지 E2,2020-08-28 08:00,2020-08-28 16:17,접안대기,2020-09-01,허가완료
