시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,044517,2020,018,001,1.143,천부1호,USK0053,대상해운(주),MQP,03,현중해양의장안벽,2020-03-31 19:20,2020-04-02 08:00,MQP,03,현중해양의장안벽,2020-03-31 19:20,2020-04-02 08:00,양하,2020-04-01,허가완료
2,DSQH5,2020,014,001,2.486,케이티에스 블루,ICK2271,와이엠해운(주),MBY,03,용잠부두 02,2020-03-30 07:05,2020-03-30 16:00,MBY,03,용잠부두 02,2020-03-30 07:05,2020-03-30 16:00,양하,2020-04-01,허가완료
3,DSQH5,2020,014,002,2.486,케이티에스 블루,ICK2271,와이엠해운(주),WAE,01,정박지-E1,2020-03-30 16:40,2020-03-31 19:15,WAE,01,정박지-E1,2020-03-30 16:40,2020-03-31 19:15,출항대기,2020-04-01,허가완료
4,DSQF5,2020,008,001,3.586,성호피오스,OST0091,성호해운(주),MBC,04,신항컨테이너부두04,2020-03-31 09:00,2020-03-31 20:30,MBC,04,신항컨테이너부두04,2020-03-31 09:00,2020-03-31 20:30,양하,2020-04-01,허가완료
5,P3TK9,2020,002,001,42.432,NORDNEPTUN,USC1002,아성마린(주),WAE,03,정박지-E3,2020-03-21 17:36,2020-03-22 00:00,WAE,03,정박지-E3,2020-03-21 17:36,2020-03-22 00:00,기타,2020-04-01,허가완료
6,P3TK9,2020,002,003,42.432,NORDNEPTUN,USC1002,아성마린(주),MBN,15,정일스톨트헤븐울산신항5부두,2020-03-24 08:12,2020-03-25 11:15,MBN,15,정일스톨트헤븐울산신항5부두,2020-03-24 08:12,2020-03-25 11:15,적하,2020-04-01,허가완료
7,V7ER7,2020,001,001,65.276,MORNING PILOT,OST0078,유코카캐리어스(주),MB6,02,6부두 02,2020-03-30 11:48,2020-03-31 11:40,MB6,02,6부두 02,2020-03-30 11:48,2020-03-31 11:40,양적하,2020-04-01,허가완료
8,V7ER7,2020,001,002,65.276,MORNING PILOT,OST0078,유코카캐리어스(주),MBJ,02,자동차부두 02,2020-03-31 11:55,2020-04-01 00:18,MBJ,02,자동차부두 02,2020-03-31 11:55,2020-04-01 00:18,양적하,2020-04-01,허가완료
9,100611,2020,035,002,753,천진호,BSZ7411,광명해운(주),MBU,01,SK2부두 01,2020-04-01 08:50,2020-04-01 14:50,MBU,01,SK2부두 01,2020-04-01 08:50,2020-04-01 14:50,적하,2020-04-01,허가완료
10,C4UL2,2020,001,001,60.434,YURI SENKEVICH,ICZ3243,인치케이프 쉽핑 코리아,MUY,03,SK부이 03,2020-03-31 10:06,2020-04-01 08:06,MUY,03,SK부이 03,2020-03-31 10:06,2020-04-01 08:06,양하,2020-04-01,허가완료
11,3FFU5,2020,002,001,4.235,부에나 글로리아,USC2011,우일해운(주),WAE,01,정박지-E1,2020-03-31 09:54,2020-03-31 13:55,WAE,01,정박지-E1,2020-03-31 09:54,2020-03-31 13:55,접안대기,2020-04-01,허가완료
12,3FFU5,2020,002,002,4.235,부에나 글로리아,USC2011,우일해운(주),MBL,01,가스부두,2020-03-31 14:24,2020-04-01 01:10,MBL,01,가스부두,2020-03-31 14:24,2020-04-01 01:10,적하,2020-04-01,허가완료
13,D7SC,2020,015,002,1.772,스카이케미,BSZ7486,정우해운주식회사,MBN,12,현대오일터미널신항부두,2020-03-31 09:00,2020-03-31 15:45,MBN,12,현대오일터미널신항부두,2020-03-31 09:00,2020-03-31 15:45,양하,2020-04-01,허가완료
14,3FRR4,2020,001,001,1.970,WEN XIANG,USC0019,(주)협성상운,MB3,01,3부두 01,2020-03-30 13:50,2020-03-31 19:40,MB3,01,3부두 01,2020-03-30 13:50,2020-03-31 19:40,양하,2020-04-01,허가완료
15,OYFP2,2020,002,001,29.266,NORD MAGIC,KMC0426,삼진선박(주),WAE,03,정박지-E3,2020-03-27 19:00,2020-03-30 13:40,WAE,02,정박지-E2,2020-03-27 19:00,2020-03-30 13:40,기타,2020-04-01,허가완료
16,DSFN9,2020,017,002,1.716,우선호,ICK0006,우림해운(주),MDS,02,S-OIL2부두,2020-03-31 00:15,2020-03-31 17:30,MDS,02,S-OIL2부두,2020-03-31 00:15,2020-03-31 17:30,적하,2020-04-01,허가완료
17,D7BK,2020,008,002,4.688,우성호,ICK0006,우림해운(주),MDU,04,SK4부두,2020-03-30 20:45,2020-03-31 14:15,MDU,04,SK4부두,2020-03-30 20:45,2020-03-31 14:15,양하,2020-04-01,허가완료
18,D7BK,2020,008,003,4.688,우성호,ICK0006,우림해운(주),WAE,01,정박지-E1,2020-03-31 14:50,2020-03-31 17:35,WAE,01,정박지-E1,2020-03-31 14:50,2020-03-31 17:35,급유,2020-04-01,허가완료
19,DSIU5,2020,016,002,1.974,우금호,ICK0006,우림해운(주),MDS,01,S-OIL1부두,2020-03-30 23:00,2020-03-31 10:25,MDS,01,S-OIL1부두,2020-03-30 23:00,2020-03-31 10:25,적하,2020-04-01,허가완료
20,DSIU5,2020,016,001,1.974,우금호,ICK0006,우림해운(주),WAM,01,정박지 01,2020-03-25 14:30,2020-03-30 21:55,WAM,01,정박지 01,2020-03-25 14:30,2020-03-30 21:55,접안대기,2020-04-01,허가완료
21,922051,2020,015,001,816,신정701호,BSK2244,신정선박(주),MWI,01,이진물양장,2020-03-30 09:25,2020-03-31 14:50,MWI,01,이진물양장,2020-03-30 09:25,2020-03-31 14:50,기타,2020-04-01,허가완료
22,9HA5155,2020,001,001,60.435,SEAVELVET,USC1006,윌헴슨협운쉽스서비스(주),WAE,03,정박지-E3,2020-03-28 23:36,2020-03-30 17:30,WAE,03,정박지-E3,2020-03-28 23:36,2020-03-30 17:30,접안대기,2020-04-01,허가완료
23,9HA5155,2020,001,002,60.435,SEAVELVET,USC1006,윌헴슨협운쉽스서비스(주),MDU,08,SK8부두,2020-03-30 18:30,2020-04-01 02:35,MDU,08,SK8부두,2020-03-30 18:30,2020-04-01 02:35,적하,2020-04-01,허가완료
24,120059,2020,016,001,415,부양에이스,BSK2527,부양해운,WAM,01,정박지 01,2020-04-02 22:50,2020-04-03 10:45,WAM,01,정박지 01,2020-04-02 22:50,2020-04-03 10:45,접안대기,2020-04-01,허가완료
25,110047,2020,013,001,1.036,오션 스타호,BSK2951,(주)오션글로벌,MBN,12,현대오일터미널신항부두,2020-03-31 18:20,2020-04-01 00:50,MBN,12,현대오일터미널신항부두,2020-03-31 18:20,2020-04-01 00:50,적하,2020-04-01,허가완료
