시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,184803,2020,001,001,1.995,진양1호,USK0074,영우해운(주),WAM,01,정박지 01,2020-01-02 00:30,2020-01-02 18:20,WAM,01,정박지 01,2020-01-02 00:30,2020-01-02 18:20,접안대기,2020-01-01,허가완료
2,DSMB,2020,001,001,5.025,우혁,OST0212,우민해운(주),WAE,01,정박지-E1,2020-01-03 05:00,2020-01-15 23:00,WAE,01,정박지-E1,2020-01-03 05:00,2020-01-15 23:00,접안대기,2020-01-01,허가완료
3,088238,2020,002,001,700,3동주,USK0074,영우해운(주),MLJ,01,장생포호안,2020-01-01 19:30,2020-01-02 10:00,MLJ,01,장생포호안,2020-01-01 19:30,2020-01-02 10:00,접안대기,2020-01-01,허가완료
4,130095,2020,001,002,1.716,스카이로얄,USK0074,영우해운(주),MBU,01,SK2부두 01,2020-01-01 08:30,2020-01-01 20:30,MBU,01,SK2부두 01,2020-01-01 08:30,2020-01-01 20:30,적하,2020-01-01,허가완료
5,130095,2020,001,003,1.716,스카이로얄,USK0074,영우해운(주),WAM,01,정박지 01,2020-01-01 19:00,2020-01-02 12:00,WAM,01,정박지 01,2020-01-01 19:00,2020-01-02 12:00,급유,2020-01-01,허가완료
6,HSB7428,2020,001,001,1.590,CHETTHANABODI 2,USK0074,영우해운(주),WAM,04,정박지 04,2020-01-01 22:50,2020-01-02 09:30,WAM,04,정박지 04,2020-01-01 22:50,2020-01-02 09:30,접안대기,2020-01-01,허가완료
7,DSIU5,2019,041,001,1.974,우금호,ICK0006,우림해운(주),WAM,01,정박지 01,2019-12-31 05:00,2019-12-31 09:10,WAM,01,정박지 01,2019-12-31 05:00,2019-12-31 09:10,접안대기,2020-01-01,허가완료
8,DSIU5,2019,041,002,1.974,우금호,ICK0006,우림해운(주),MDS,01,S-OIL1부두,2019-12-31 10:00,2019-12-31 22:20,MDS,01,S-OIL1부두,2019-12-31 10:00,2019-12-31 22:20,적하,2020-01-01,허가완료
9,9KJW,2020,001,001,49.394,GAS AL AHMADIAH,USC0008,(주)울산마리타임,MQP,03,현중해양의장안벽,2020-01-01 09:50,2020-01-01 09:52,MQP,03,현중해양의장안벽,2020-01-01 09:50,2020-01-01 09:52,기타,2020-01-01,허가완료
10,V7ZH9,2019,009,005,5.422,드림 파이오니어,KMS8831,흥아해운(주),MB1,01,1부두 01,2019-12-31 10:00,2020-01-03 18:00,MB1,01,1부두 01,2019-12-31 10:00,2020-01-03 18:00,급유,2020-01-01,허가완료
11,130093,2020,001,001,699,삼원,BSK3254,삼원쉬핑 주식회사,WAM,01,정박지 01,2020-01-02 03:05,2020-01-03 22:05,WAM,03,정박지 03,2020-01-02 03:05,2020-01-03 22:05,기타,2020-01-01,허가완료
12,062521,2019,062,001,198,동인15호,BSU2440,(주)삼원마린서비스,MBR,01,UTK부두,2019-12-28 06:00,2019-12-28 07:50,MBR,01,UTK부두,2019-12-28 06:00,2019-12-28 07:50,적하,2020-01-01,허가완료
