시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,190015,2020,016,002,262,19유성호,BSK9407,세양상사,MBU,01,SK2부두 01,2020-04-30 01:05,2020-04-30 04:20,MBU,01,SK2부두 01,2020-04-30 01:05,2020-04-30 04:20,적하,2020-05-01,허가완료
2,190015,2020,017,001,262,19유성호,BSK9407,세양상사,MLJ,01,장생포호안,2020-05-01 02:30,2020-05-01 02:40,MLJ,01,장생포호안,2020-05-01 02:30,2020-05-01 02:40,기타,2020-05-01,허가완료
3,170036,2020,036,002,438,17유성호,BSK9407,세양상사,MBU,02,SK2부두 02,2020-04-29 23:10,2020-04-30 03:05,MBU,02,SK2부두 02,2020-04-29 23:10,2020-04-30 03:05,적하,2020-05-01,허가완료
4,100611,2020,046,001,753,천진호,BSZ7411,광명해운(주),MLJ,01,장생포호안,2020-04-30 17:20,2020-04-30 20:25,MLJ,01,장생포호안,2020-04-30 17:20,2020-04-30 20:25,기타,2020-05-01,허가완료
5,100611,2020,046,002,753,천진호,BSZ7411,광명해운(주),MBU,02,SK2부두 02,2020-04-30 20:35,2020-05-01 00:40,MBU,02,SK2부두 02,2020-04-30 20:35,2020-05-01 00:40,적하,2020-05-01,허가완료
6,100611,2020,046,003,753,천진호,BSZ7411,광명해운(주),MLJ,01,장생포호안,2020-05-01 00:50,2020-05-01 11:15,MLJ,01,장생포호안,2020-05-01 00:50,2020-05-01 11:15,기타,2020-05-01,허가완료
7,100611,2020,046,004,753,천진호,BSZ7411,광명해운(주),MLJ,01,장생포호안,2020-05-01 14:15,2020-05-02 01:30,MLJ,01,장생포호안,2020-05-01 14:15,2020-05-02 01:30,기타,2020-05-01,허가완료
8,100611,2020,046,005,753,천진호,BSZ7411,광명해운(주),WAE,03,정박지-E3,2020-05-02 02:50,2020-05-02 08:20,WAE,03,정박지-E3,2020-05-02 02:50,2020-05-02 08:20,양하,2020-05-01,허가완료
9,130001,2020,022,001,415,동진에이스호,BSZ9703,동진해급(주),WAM,05,정박지 05,2020-05-01 11:00,2020-05-01 12:50,WAM,05,정박지 05,2020-05-01 11:00,2020-05-01 12:50,기타,2020-05-01,허가완료
10,180017,2020,039,001,919,동명에이스,BSB2479,동명해운,MBN,12,현대오일터미널신항부두,2020-05-01 23:00,2020-05-02 01:35,MBN,12,현대오일터미널신항부두,2020-05-01 23:00,2020-05-02 01:35,적하,2020-05-01,허가완료
11,130060,2020,045,002,751,대경에이스,BSZ7090,에이치비씨해운 주식회사,MBO,01,온산1부두,2020-05-01 03:35,2020-05-01 07:43,MBO,01,온산1부두,2020-05-01 03:35,2020-05-01 07:43,적하,2020-05-01,허가완료
12,130060,2020,046,001,751,대경에이스,BSZ7090,에이치비씨해운 주식회사,MLJ,01,장생포호안,2020-05-01 21:24,2020-05-02 09:15,MLJ,01,장생포호안,2020-05-01 21:24,2020-05-02 09:15,기타,2020-05-01,허가완료
13,D8BO,2020,017,001,4.568,CALLIOPE,USK0074,영우해운(주),WAE,01,정박지-E1,2020-05-02 00:50,2020-05-02 09:00,WAE,01,정박지-E1,2020-05-02 00:50,2020-05-02 09:00,접안대기,2020-05-01,허가완료
14,9LU2620,2020,007,001,1.071,EKAH,USC2064,베이스타해운(주),MBO,06,효성부두,2020-04-30 02:55,2020-04-30 18:00,MBO,06,효성부두,2020-04-30 02:55,2020-04-30 18:00,적하,2020-05-01,허가완료
15,DSFW5,2020,036,001,500,범양호,BSZ7369,경영마린(주),MBN,12,현대오일터미널신항부두,2020-05-01 14:10,2020-05-01 17:25,MBN,12,현대오일터미널신항부두,2020-05-01 14:10,2020-05-01 17:25,적하,2020-05-01,허가완료
16,192827,2020,043,001,1.998,우성,USK0074,영우해운(주),WAM,01,정박지 01,2020-05-02 05:20,2020-05-05 18:00,WAM,01,정박지 01,2020-05-02 05:20,2020-05-05 18:00,접안대기,2020-05-01,허가완료
17,200009,2020,011,001,1.200,송양1호,USK0074,영우해운(주),WAM,04,정박지 04,2020-05-02 01:10,2020-05-06 11:00,WAM,04,정박지 04,2020-05-02 01:10,2020-05-06 11:00,접안대기,2020-05-01,허가완료
18,3FPQ3,2020,002,001,7.248,CRANE ARGO,USC2046,씨에스해운,WAE,01,정박지-E1,2020-04-24 08:20,2020-04-25 12:00,WAE,01,정박지-E1,2020-04-24 08:20,2020-04-25 12:00,접안대기,2020-05-01,허가완료
19,3FPQ3,2020,002,002,7.248,CRANE ARGO,USC2046,씨에스해운,WAE,01,정박지-E1,2020-04-26 11:00,2020-04-27 15:00,WAE,01,정박지-E1,2020-04-26 11:00,2020-04-27 15:00,접안대기,2020-05-01,허가완료
20,3FPQ3,2020,002,003,7.248,CRANE ARGO,USC2046,씨에스해운,MDS,02,S-OIL2부두,2020-04-27 15:55,2020-04-28 14:20,MDS,02,S-OIL2부두,2020-04-27 15:55,2020-04-28 14:20,적하,2020-05-01,허가완료
21,3FPQ3,2020,002,004,7.248,CRANE ARGO,USC2046,씨에스해운,WAE,01,정박지-E1,2020-04-28 16:00,2020-04-29 06:00,WAE,01,정박지-E1,2020-04-28 16:00,2020-04-29 06:00,접안대기,2020-05-01,허가완료
22,3FPQ3,2020,002,005,7.248,CRANE ARGO,USC2046,씨에스해운,MDS,01,S-OIL1부두,2020-04-29 06:50,2020-04-29 15:10,MDS,01,S-OIL1부두,2020-04-29 06:50,2020-04-29 15:10,적하,2020-05-01,허가완료
23,3FPQ3,2020,002,006,7.248,CRANE ARGO,USC2046,씨에스해운,WAE,01,정박지-E1,2020-04-29 15:45,2020-04-29 17:35,WAE,01,정박지-E1,2020-04-29 15:45,2020-04-29 17:35,급유,2020-05-01,허가완료
24,088238,2020,053,001,700,3동주,USK0074,영우해운(주),MLJ,01,장생포호안,2020-05-01 16:50,2020-05-02 09:30,MLJ,01,장생포호안,2020-05-01 16:50,2020-05-02 09:30,접안대기,2020-05-01,허가완료
