선박입출항현황,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청명 : 울산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항시작일 : 20170801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입출항종료일 : 20170831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부선호출부호 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분 : -전체-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력자 : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
출력일자 : 2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,국제톤수,징수톤수,입항일시,출항일시,CIO수속일자,수리일시,항해구분,MRN 번호,국적,국적,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,승무원 1,승무원 2,승객,예선,도선,부선호출부호1,부선호출부호2
울산,000637,울산107호,2016,015,최종,내항,출항,80,80,"1,500",2016-05-13 14:00,2017-08-07 12:30,,2017-08-08 10:17,기타,,KR,대한민국,MWM,01,매암물양장,기타항,마산,기타 예선,3,1,,N,N,078216,
울산,066572,광민호,2016,001,최종,내항,출항,209,200,209,2016-11-11 15:30,2017-08-28 07:20,,2017-08-28 10:51,기타,,KR,대한민국,MLJ,01,장생포호안,기타항,포항,기타선,3,0,3,N,N,,
울산,9LU2620,EKAH,2016,094,최종,내항,출항,757,0,757,2016-12-31 09:20,2017-08-28 09:15,2017-08-28 08:15,2017-09-01 10:46,기타,,KR,대한민국,MLJ,01,장생포호안,기타항,부산,석유제품 운반선,,1,,N,N,,
울산,/D8PN,울산703호,2017,008,최종,내항,출항,198,198,198,2017-03-28 15:45,2017-08-11 12:45,,2017-08-14 18:02,기타,,KR,대한민국,MWS,01,신항부두작업장,기타항,옥포,기타 예선,3,1,,N,N,,
