시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,170036,2018,025,001,438,17유성호,BSK9407,세양상사,MBJ,02,자동차부두 02,2018-04-03 17:40,2018-04-30 18:45,MBJ,02,자동차부두 02,2018-04-03 17:40,2018-04-30 18:45,양하,2018-05-01,허가완료
2,130051,2018,023,001,471,삼원신,BSZ7411,광명해운(주),MDG,01,정일1부두,2018-05-01 15:00,2018-05-01 18:00,MLJ,01,장생포호안,2018-05-01 15:00,2018-05-01 18:00,적하,2018-05-01,허가완료
3,130051,2018,023,002,471,삼원신,BSZ7411,광명해운(주),MLJ,01,장생포호안,2018-05-01 19:00,2018-05-01 20:00,MDG,01,정일1부두,2018-05-01 19:00,2018-05-01 20:00,기타,2018-05-01,허가완료
4,170036,2018,025,002,438,17유성호,BSK9407,세양상사,WAM,01,정박지 01,2018-04-30 19:00,2018-04-30 19:35,WAM,01,정박지 01,2018-04-30 19:00,2018-04-30 19:35,기타,2018-05-01,허가완료
5,170036,2018,025,003,438,17유성호,BSK9407,세양상사,MBU,02,SK2부두 02,2018-04-30 19:55,2018-04-30 22:00,MBU,02,SK2부두 02,2018-04-30 19:55,2018-04-30 22:00,적하,2018-05-01,허가완료
6,D9WV,2018,051,001,1.596,,USK0074,영우해운(주),WAM,07,정박지 07,2018-05-01 02:40,2018-05-01 14:00,WAM,01,정박지 01,2018-05-01 02:40,2018-05-01 14:00,접안대기,2018-05-01,허가완료
7,D9WV,2018,051,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-05-01 09:00,2018-05-01 21:00,MBU,01,SK2부두 01,2018-05-01 09:00,2018-05-01 21:00,적하,2018-05-01,허가완료
8,D9WV,2018,050,002,1.596,,USK0074,영우해운(주),WAM,07,정박지 07,2018-04-30 07:40,2018-04-30 09:00,WAM,07,정박지 07,2018-04-30 07:40,2018-04-30 09:00,출항대기,2018-05-01,허가완료
9,D9WW,2018,047,001,1.590,,USK0074,영우해운(주),WAM,05,정박지 05,2018-05-01 04:20,2018-05-01 07:00,WAM,05,정박지 05,2018-05-01 04:20,2018-05-01 07:00,접안대기,2018-05-01,허가완료
10,D9WW,2018,047,002,1.590,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-05-01 06:50,2018-05-01 18:50,MBU,01,SK2부두 01,2018-05-01 06:50,2018-05-01 18:50,적하,2018-05-01,허가완료
