시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,130008,2018,036,001,532,건양호,BSK2613,천배유조(주),MLJ,01,장생포호안,2018-03-30 13:40,2018-03-30 17:35,MLJ,01,장생포호안,2018-03-30 13:40,2018-03-30 17:35,접안대기,2018-04-01,허가완료
2,130008,2018,036,002,532,건양호,BSK2613,천배유조(주),MBU,02,SK2부두 02,2018-03-30 17:45,2018-03-30 22:10,MBU,02,SK2부두 02,2018-03-30 17:45,2018-03-30 22:10,적하,2018-04-01,허가완료
3,130008,2018,036,003,532,건양호,BSK2613,천배유조(주),MLJ,01,장생포호안,2018-03-30 22:20,2018-03-31 13:05,MLJ,01,장생포호안,2018-03-30 22:20,2018-03-31 13:05,접안대기,2018-04-01,허가완료
4,130008,2018,036,004,532,건양호,BSK2613,천배유조(주),WAE,03,정박지-E3,2018-03-31 14:30,2018-03-31 20:10,WAE,03,정박지-E3,2018-03-31 14:30,2018-03-31 20:10,양하,2018-04-01,허가완료
5,D9WV,2018,040,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-03-31 23:40,2018-04-01 09:00,MBU,01,SK2부두 01,2018-03-31 23:45,2018-04-01 08:30,,2018-04-01,허가완료
6,D9WV,2018,040,001,1.596,,USK0074,영우해운(주),WAM,03,정박지 03,2018-03-31 19:20,2018-03-31 23:20,WAM,03,정박지 03,2018-03-31 19:20,2018-03-31 23:20,,2018-04-01,허가완료
7,D9WW,2018,033,001,1.590,,USK0074,영우해운(주),WAM,02,정박지 02,2018-03-31 18:20,2018-04-01 02:00,WAM,02,정박지 02,2018-03-31 18:20,2018-04-01 01:55,,2018-04-01,허가완료
8,DSPD6,2018,008,001,1.755,그레이스삼부,BSK0104,삼부해운(주),MB4,01,4부두 01,2018-03-28 19:40,2018-03-29 08:10,MB4,01,4부두 01,2018-03-28 19:40,2018-03-29 08:10,양하,2018-04-01,허가완료
9,DSPD6,2018,008,002,1.755,그레이스삼부,BSK0104,삼부해운(주),WAM,01,정박지 01,2018-03-29 08:30,2018-03-29 12:00,WAM,01,정박지 01,2018-03-29 08:30,2018-03-29 12:00,접안대기,2018-04-01,허가완료
10,DSPD6,2018,008,003,1.755,그레이스삼부,BSK0104,삼부해운(주),MB3,02,3부두 02,2018-03-29 12:40,2018-03-29 17:10,MB3,02,3부두 02,2018-03-29 12:40,2018-03-29 17:10,적하,2018-04-01,허가완료
