시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,071381,2017,067,004,549,제2보원호,BSZ9626,동대해운주식회사,MBN,12,현대오일터미널신항부두,2017-10-31 16:10,2017-10-31 20:40,MBN,12,현대오일터미널신항부두,2017-10-31 16:10,2017-10-31 20:40,,2017-11-01,허가완료
2,071381,2017,067,005,549,제2보원호,BSZ9626,동대해운주식회사,WAM,06,정박지 06,2017-10-31 21:35,2017-10-31 23:00,WAM,06,정박지 06,2017-10-31 21:35,2017-10-31 23:00,,2017-11-01,허가완료
3,DSAY4,2017,002,001,2.071,신정티-1호,BSK2244,신정선박(주),MQP,03,현중해양의장안벽,2017-10-29 15:35,2017-10-31 16:30,MQP,03,현중해양의장안벽,2017-10-29 15:35,2017-10-31 16:30,,2017-11-01,허가완료
4,DSIJ9,2017,039,001,1.974,우종호,ICK0006,우림해운(주),MB4,01,4부두 01,2017-10-31 09:05,2017-11-01 08:10,MB4,01,4부두 01,2017-10-31 09:05,2017-11-01 08:10,양하,2017-11-01,허가완료
5,130001,2017,107,001,415,동진에이스호,BSZ9703,동진해급(주),WAM,07,정박지 07,2017-10-31 20:25,2017-11-01 02:50,WAM,07,정박지 07,2017-10-31 20:25,2017-11-01 02:50,,2017-11-01,허가완료
6,120039,2017,020,001,198,삼성호,BSZ9548,성진상사,WAM,07,정박지 07,2017-10-31 18:20,2017-10-31 19:00,WAM,07,정박지 07,2017-10-31 18:20,2017-10-31 19:00,,2017-11-01,허가완료
7,DSFG3,2017,109,002,1.579,,BSK9121,(주)영성글로벌,WAM,07,정박지 07,2017-10-31 17:25,2017-10-31 19:35,WAM,07,정박지 07,2017-10-31 17:25,2017-10-31 19:35,기타,2017-11-01,허가완료
8,130001,2017,107,002,415,동진에이스호,BSZ9703,동진해급(주),MBO,02,온산2부두,2017-11-01 03:55,2017-11-01 07:00,MBO,02,온산2부두,2017-11-01 03:55,2017-11-01 07:00,적하,2017-11-01,허가완료
9,DSFG3,2017,109,001,1.579,,BSK9121,(주)영성글로벌,WAM,04,정박지 04,2017-10-30 19:00,2017-10-31 16:55,WAM,04,정박지 04,2017-10-30 19:00,2017-10-31 16:55,,2017-11-01,허가완료
10,DSFG3,2017,109,003,1.579,,BSK9121,(주)영성글로벌,MBN,12,현대오일터미널신항부두,2017-10-31 21:00,2017-11-01 01:55,MBN,12,현대오일터미널신항부두,2017-10-31 21:00,2017-11-01 01:55,적하,2017-11-01,허가완료
11,D9WB,2017,007,001,1.975,,OST0212,우민해운(주),WAM,05,정박지 05,2017-10-29 19:40,2017-10-31 12:35,WAM,05,정박지 05,2017-10-29 19:40,2017-10-31 12:35,접안대기,2017-11-01,허가완료
12,120039,2017,020,002,198,삼성호,BSZ9548,성진상사,MBN,12,현대오일터미널신항부두,2017-10-31 19:30,2017-10-31 22:00,MBN,12,현대오일터미널신항부두,2017-10-31 19:30,2017-10-31 22:00,적하,2017-11-01,허가완료
13,120039,2017,020,003,198,삼성호,BSZ9548,성진상사,WAM,07,정박지 07,2017-10-31 22:30,2017-11-01 07:00,WAM,07,정박지 07,2017-10-31 22:30,2017-11-01 07:00,기타,2017-11-01,허가완료
14,VRRC7,2017,003,001,15.988,BAO CHENG,KMS8831,흥아해운(주),MBC,01,신항컨테이너부두01,2017-10-31 08:03,2017-10-31 14:50,MBC,01,신항컨테이너부두01,2017-10-31 08:03,2017-10-31 14:50,적하,2017-11-01,허가완료
15,3FZT5,2017,001,001,7.345,SEA LORD,USC2043,일진해운(주),WAE,01,정박지-E1,2017-10-21 03:00,2017-10-30 12:20,WAE,01,정박지-E1,2017-10-27 14:10,2017-10-30 12:20,접안대기,2017-11-01,허가완료
16,DSEX3,2017,048,001,1.734,팰러스호,USC0004,가나해운(주),WAM,07,정박지 07,2017-10-29 09:15,2017-10-29 15:40,WAM,07,정박지 07,2017-10-29 09:15,2017-10-29 15:40,접안대기,2017-11-01,허가완료
17,3FZT5,2017,001,002,7.345,SEA LORD,USC2043,일진해운(주),MBT,01,석탄부두 01,2017-10-30 12:20,2017-10-31 22:35,MBT,01,석탄부두 01,2017-10-30 13:20,2017-10-31 22:35,양하,2017-11-01,허가완료
18,DSEX3,2017,048,002,1.734,팰러스호,USC0004,가나해운(주),MDW,01,유화1부두,2017-10-29 16:25,2017-10-30 04:10,MDW,01,유화1부두,2017-10-29 16:25,2017-10-30 04:10,적하,2017-11-01,허가완료
19,DSEX3,2017,048,003,1.734,팰러스호,USC0004,가나해운(주),MBN,14,정일스톨트헤븐울산신항4부두,2017-10-30 05:10,2017-10-30 11:10,MBN,14,정일스톨트헤븐울산신항4부두,2017-10-30 05:10,2017-10-30 11:10,양하,2017-11-01,허가완료
20,DSDZ5,2017,057,002,998,제1알파호,USC0004,가나해운(주),MDS,01,S-OIL1부두,2017-10-31 08:05,2017-11-01 01:00,MDS,01,S-OIL1부두,2017-10-31 08:05,2017-11-01 01:00,양하,2017-11-01,허가완료
21,070606,2017,013,001,149,신성호,BSB2434,청해마린,MWI,01,이진물양장,2017-10-31 13:10,2017-10-31 15:10,MWI,01,이진물양장,2017-10-31 13:10,2017-10-31 15:10,,2017-11-01,허가완료
22,174810,2017,004,004,2.997,엠에스 피스,USC1002,아성마린(주),MBO,02,온산2부두,2017-10-30 02:40,2017-10-30 09:50,MBO,02,온산2부두,2017-10-30 02:40,2017-10-30 09:50,적하,2017-11-01,허가완료
23,120068,2017,011,012,563,창성호,BSB2436,송백해운,MB7,01,7부두 01,2017-10-31 17:30,2017-10-31 22:45,MB7,01,7부두 01,2017-10-31 17:30,2017-10-31 22:45,,2017-11-01,허가완료
24,120068,2017,011,011,563,창성호,BSB2436,송백해운,MLJ,01,장생포호안,2017-10-30 00:00,2017-10-31 17:05,MLJ,01,장생포호안,2017-10-30 00:00,2017-10-31 17:05,,2017-11-01,허가완료
25,120068,2017,011,014,563,창성호,BSB2436,송백해운,MDS,02,S-OIL2부두,2017-11-01 02:00,2017-11-01 06:15,MDS,02,S-OIL2부두,2017-11-01 02:00,2017-11-01 06:15,적하,2017-11-01,허가완료
26,020228,2017,089,001,557,,BSK3093,(주)천유마린,MDS,02,S-OIL2부두,2017-10-31 21:10,2017-11-01 01:05,MDS,02,S-OIL2부두,2017-10-31 21:10,2017-11-01 01:05,,2017-11-01,허가완료
27,D5NF6,2017,001,001,35.025,ULTRA ANGEL,USC0019,(주)협성상운,WAE,03,정박지-E3,2017-10-27 21:30,2017-10-30 07:40,WAE,03,정박지-E3,2017-10-27 21:30,2017-10-30 07:40,접안대기,2017-11-01,허가완료
28,060945,2017,050,003,174,주원호,BSZ9063,삼안환경주식회사,MLJ,01,장생포호안,2017-10-29 13:45,2017-10-31 21:20,MLJ,01,장생포호안,2017-10-29 13:45,2017-10-31 21:20,,2017-11-01,허가완료
29,934345,2017,062,001,408,글로벌3호,BSK2662,동방급유,MDS,01,S-OIL1부두,2017-10-31 17:10,2017-10-31 22:08,MDS,01,S-OIL1부두,2017-10-31 17:10,2017-10-31 22:08,,2017-11-01,허가완료
30,122801,2017,075,001,299,12삼부호,USK0039,(주)한유해운,MLJ,01,장생포호안,2017-10-31 17:05,2017-10-31 18:00,MLJ,01,장생포호안,2017-10-31 17:05,2017-10-31 18:00,,2017-11-01,허가완료
31,122801,2017,075,002,299,12삼부호,USK0039,(주)한유해운,MBU,01,SK2부두 01,2017-10-31 18:10,2017-10-31 22:25,MBU,01,SK2부두 01,2017-10-31 18:10,2017-10-31 22:25,적하,2017-11-01,허가완료
32,122801,2017,075,003,299,12삼부호,USK0039,(주)한유해운,MLJ,01,장생포호안,2017-10-31 22:35,2017-11-01 03:00,MLJ,01,장생포호안,2017-10-31 22:35,2017-11-01 03:00,기타,2017-11-01,허가완료
33,C6CF6,2017,004,001,71.177,GLOVIS SIGMA,OST0179,현대글로비스주식회사,MBJ,03,자동차부두 03,2017-10-31 10:20,2017-10-31 17:40,MBJ,03,자동차부두 03,2017-10-31 10:20,2017-10-31 17:40,적하,2017-11-01,허가완료
34,C6ZE4,2017,002,002,65.830,SKS DONGGANG,USC0002,신양상선(주),MDU,08,SK8부두,2017-10-27 17:42,2017-10-29 00:24,MDU,08,SK8부두,2017-10-27 17:42,2017-10-29 00:24,적하,2017-11-01,허가완료
35,3ECG6,2017,008,001,4.543,SUN VENUS,USC0002,신양상선(주),WAE,02,정박지-E2,2017-10-30 08:55,2017-10-31 06:50,WAE,02,정박지-E2,2017-10-30 08:55,2017-10-31 06:50,접안대기,2017-11-01,허가완료
36,3ECG6,2017,008,002,4.543,SUN VENUS,USC0002,신양상선(주),MBL,01,가스부두,2017-10-31 07:20,2017-10-31 19:30,MBL,01,가스부두,2017-10-31 07:20,2017-10-31 19:30,적하,2017-11-01,허가완료
37,VRQF6,2017,002,001,12.136,BOCHEM LONDON,KMC8438,동진상운(주),WAE,02,정박지-E2,2017-10-30 15:12,2017-10-31 07:12,WAE,02,정박지-E2,2017-10-30 15:12,2017-10-31 07:12,접안대기,2017-11-01,허가완료
38,VRQF6,2017,002,002,12.136,BOCHEM LONDON,KMC8438,동진상운(주),MDG,01,정일1부두,2017-10-31 08:15,2017-10-31 20:20,MDG,01,정일1부두,2017-10-31 08:15,2017-10-31 20:20,적하,2017-11-01,허가완료
39,VRQF6,2017,002,003,12.136,BOCHEM LONDON,KMC8438,동진상운(주),WAE,02,정박지-E2,2017-10-31 21:06,2017-11-01 02:18,WAE,02,정박지-E2,2017-10-31 21:06,2017-11-01 02:18,급유,2017-11-01,허가완료
40,D9WV,2017,146,001,1.596,,USK0074,영우해운(주),WAM,01,정박지 01,2017-11-01 06:20,2017-11-01 08:20,WAM,01,정박지 01,2017-11-01 06:25,2017-11-01 08:20,,2017-11-01,허가완료
41,D9WV,2017,146,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-11-01 08:30,2017-11-01 20:30,MBU,01,SK2부두 01,2017-11-01 08:30,2017-11-01 20:30,적하,2017-11-01,허가완료
42,130093,2017,031,001,699,삼원,BSK2966,삼원해운(주),WAM,03,정박지 03,2017-11-01 00:10,2017-11-01 02:10,WAM,03,정박지 03,2017-11-01 00:10,2017-11-01 02:10,,2017-11-01,허가완료
43,130093,2017,031,002,699,삼원,BSK2966,삼원해운(주),MBU,01,SK2부두 01,2017-11-01 02:30,2017-11-01 09:50,MBU,01,SK2부두 01,2017-11-01 02:30,2017-11-01 09:50,,2017-11-01,허가완료
44,020830,2017,063,003,522,,BSK2693,해운상사,WAE,03,정박지-E3,2017-11-01 09:20,2017-11-01 15:50,WAE,03,정박지-E3,2017-11-01 09:20,2017-11-01 15:50,양하,2017-11-01,허가완료
45,020830,2017,063,004,522,,BSK2693,해운상사,MLJ,01,장생포호안,2017-11-01 16:45,2017-11-01 19:40,MLJ,01,장생포호안,2017-11-01 16:45,2017-11-01 19:40,기타,2017-11-01,허가완료
46,7JTF,2017,014,002,1.357,KASHIMA MARU NO.8,USC2011,우일해운(주),MBL,01,가스부두,2017-10-31 09:45,2017-10-31 15:35,MBL,01,가스부두,2017-10-31 09:45,2017-10-31 15:35,적하,2017-11-01,허가완료
