시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,D9WV,2017,070,001,1.596,,USK0074,영우해운(주),WAM,01,정박지 01,2017-05-31 20:20,2017-05-31 22:00,WAM,01,정박지 01,2017-05-31 20:25,2017-05-31 21:55,,2017-06-01,허가완료
2,D9WV,2017,070,002,1.596,,USK0074,영우해운(주),MBU,02,SK2부두 02,2017-05-31 22:10,2017-06-01 08:00,MBU,02,SK2부두 02,2017-05-31 22:10,2017-06-01 07:00,적하,2017-06-01,허가완료
3,934543,2017,033,001,148,77 청해호,BSZ9295,원일해운,MLJ,01,장생포호안,2017-06-01 01:45,2017-06-01 02:55,MLJ,01,장생포호안,2017-06-01 01:45,2017-06-01 02:55,,2017-06-01,허가완료
4,088291,2017,034,001,3.231,수양호,USK0057,수양해운(주),MBG,03,일반부두 03,2017-05-31 10:40,2017-06-01 04:05,MBG,03,일반부두 03,2017-05-31 10:40,2017-06-01 04:05,양하,2017-06-01,허가완료
5,132825,2017,002,001,322,12한진호,YSK2022,주식회사 동신,MBN,12,현대오일터미널신항부두,2017-05-31 15:35,2017-05-31 17:30,MBN,12,현대오일터미널신항부두,2017-05-31 15:35,2017-05-31 17:30,,2017-06-01,허가완료
6,H9TZ,2017,001,001,5.359,,USC0008,(주)울산마리타임,WAE,01,정박지-E1,2017-04-26 09:50,2017-05-31 13:40,WAE,01,정박지-E1,2017-04-26 09:50,2017-05-31 13:40,기타,2017-06-01,허가완료
7,VROP2,2017,003,001,7.233,GOLDEN ACE,USC0008,(주)울산마리타임,WAE,02,정박지-E2,2017-05-30 03:00,2017-05-30 20:42,WAE,02,정박지-E2,2017-05-30 03:00,2017-05-30 20:42,접안대기,2017-06-01,허가완료
8,VROP2,2017,003,002,7.233,GOLDEN ACE,USC0008,(주)울산마리타임,MDU,03,SK3부두,2017-05-30 21:35,2017-05-31 08:40,MDU,03,SK3부두,2017-05-30 21:35,2017-05-31 08:40,적하,2017-06-01,허가완료
9,VROP2,2017,003,003,7.233,GOLDEN ACE,USC0008,(주)울산마리타임,MBR,01,UTK부두,2017-05-31 09:30,2017-05-31 18:40,MBR,01,UTK부두,2017-05-31 09:30,2017-05-31 18:40,적하,2017-06-01,허가완료
10,120059,2017,023,001,415,부양에이스,BSK2527,부양해운,WAM,07,정박지 07,2017-05-31 20:45,2017-05-31 23:20,WAM,07,정박지 07,2017-05-31 20:45,2017-05-31 23:20,,2017-06-01,허가완료
11,120059,2017,023,002,415,부양에이스,BSK2527,부양해운,MDS,01,S-OIL1부두,2017-06-01 00:00,2017-06-01 04:10,MDS,01,S-OIL1부두,2017-06-01 00:00,2017-06-01 04:10,,2017-06-01,허가완료
12,D5EJ8,2017,001,001,60.131,ONYX ACE,KMC2092,엠오엘코리아(주),MBJ,03,자동차부두 03,2017-05-31 07:30,2017-05-31 15:40,MBJ,03,자동차부두 03,2017-05-31 07:30,2017-05-31 15:40,적하,2017-06-01,허가완료
13,031243,2017,004,001,1.227,창우1,USK2215,(주)울산선박,MQP,03,현중해양의장안벽,2017-05-29 05:00,2017-05-29 17:15,MQP,03,현중해양의장안벽,2017-05-29 05:00,2017-05-29 17:15,적하,2017-06-01,허가완료
14,D8BD,2017,007,001,5.372,미시칸,YSZ2381,선우탱커 주식회사,MDU,05,SK5부두,2017-05-25 10:20,2017-05-25 19:35,MDU,05,SK5부두,2017-05-25 10:20,2017-05-25 19:35,적하,2017-06-01,허가완료
