시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,112815,2017,043,013,268,유진호,YSK0195,세종에너지(주),MLJ,01,장생포호안,2017-06-28 12:10,2017-06-30 17:40,MLJ,01,장생포호안,2017-06-28 12:10,2017-06-30 17:40,기타,2017-07-01,허가완료
2,112815,2017,043,014,268,유진호,YSK0195,세종에너지(주),MBU,01,SK2부두 01,2017-06-30 17:50,2017-06-30 21:10,MBU,01,SK2부두 01,2017-06-30 17:50,2017-06-30 21:10,적하,2017-07-01,허가완료
3,112815,2017,043,015,268,유진호,YSK0195,세종에너지(주),MLJ,01,장생포호안,2017-06-30 21:20,2017-07-01 00:10,MLJ,01,장생포호안,2017-06-30 21:20,2017-07-01 00:05,기타,2017-07-01,허가완료
4,028241,2017,074,001,1.823,,USK0074,영우해운(주),WAM,01,정박지 01,2017-06-30 18:50,2017-06-30 22:40,WAM,01,정박지 01,2017-06-30 18:50,2017-06-30 22:35,,2017-07-01,허가완료
5,028241,2017,074,002,1.823,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-06-30 23:00,2017-07-01 09:00,MBU,01,SK2부두 01,2017-06-30 23:00,2017-07-01 08:15,적하,2017-07-01,허가완료
6,036715,2017,095,002,626,대영호,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-07-01 06:30,2017-07-01 16:30,MBU,01,SK2부두 01,2017-07-01 06:35,2017-07-01 13:20,적하,2017-07-01,허가완료
7,036715,2017,095,001,626,대영호,USK0074,영우해운(주),WAM,01,정박지 01,2017-06-30 22:10,2017-07-01 06:30,WAM,01,정박지 01,2017-06-30 22:10,2017-07-01 06:20,,2017-07-01,허가완료
8,9HJK9,2017,019,001,2.360,,ICK0006,우림해운(주),WAE,01,정박지-E1,2017-06-30 08:20,2017-07-01 06:00,WAE,01,정박지-E1,2017-06-30 08:20,2017-07-01 05:50,기타,2017-07-01,허가완료
9,D7FD,2017,011,001,8.539,우찬호,ICK0006,우림해운(주),WAE,01,정박지-E1,2017-06-26 14:10,2017-06-29 18:50,WAE,01,정박지-E1,2017-06-26 14:10,2017-06-29 18:50,접안대기,2017-07-01,허가완료
10,D7FD,2017,011,002,8.539,우찬호,ICK0006,우림해운(주),MDS,03,S-OIL3부두,2017-06-29 19:40,2017-06-30 21:35,MDS,03,S-OIL3부두,2017-06-29 19:40,2017-06-30 21:35,적하,2017-07-01,허가완료
