시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,D5DY5,2018,001,001,52.467,HYUNDAI PRIVILEGE,KMS8802,에이치엠엠(주),MBC,03,신항컨테이너부두03,2018-01-28 08:50,2018-01-28 16:18,MBC,03,신항컨테이너부두03,2018-01-28 08:50,2018-01-28 16:18,양적하,2018-02-01,허가완료
2,3FUU5,2018,003,001,9.867,SUNNY ACACIA,KMS8832,고려해운(주),MBC,04,신항컨테이너부두04,2018-02-01 19:00,2018-02-02 06:00,MBC,04,신항컨테이너부두04,2018-02-01 19:00,2018-02-02 06:20,양적하,2018-02-01,허가완료
3,DSIU5,2018,003,001,1.974,우금호,ICK0006,우림해운(주),MBA,01,양곡부두,2018-01-31 10:50,2018-02-01 04:50,MBA,01,양곡부두,2018-01-31 10:50,2018-02-01 04:50,양하,2018-02-01,허가완료
4,DSIU5,2018,003,002,1.974,우금호,ICK0006,우림해운(주),WAM,03,정박지 03,2018-02-01 05:10,2018-02-01 07:55,WAM,03,정박지 03,2018-02-01 05:10,2018-02-01 07:55,급유,2018-02-01,허가완료
5,060945,2018,003,001,174,주원호,BSZ9063,삼안환경주식회사,WAE,02,정박지-E2,2018-01-30 17:45,2018-01-30 20:40,WAE,02,정박지-E2,2018-01-30 17:45,2018-01-30 20:40,기타,2018-02-01,허가완료
6,060945,2018,003,002,174,주원호,BSZ9063,삼안환경주식회사,MLJ,01,장생포호안,2018-01-30 21:35,2018-01-31 10:25,MLJ,01,장생포호안,2018-01-30 21:35,2018-01-31 10:25,적하,2018-02-01,허가완료
7,DSFG3,2018,011,002,1.579,,BSK9121,(주)영성글로벌,MBN,12,현대오일터미널신항부두,2018-01-31 16:30,2018-02-01 00:15,MBN,12,현대오일터미널신항부두,2018-01-31 16:30,2018-02-01 00:15,,2018-02-01,허가완료
8,DSFG3,2018,011,001,1.579,,BSK9121,(주)영성글로벌,WAM,04,정박지 04,2018-01-29 14:10,2018-01-31 15:40,WAM,04,정박지 04,2018-01-29 14:10,2018-01-31 15:40,,2018-02-01,허가완료
9,130051,2018,005,001,471,삼원신,BSZ7411,광명해운(주),MLJ,01,장생포호안,2018-01-25 07:25,2018-01-25 12:10,MLJ,01,장생포호안,2018-01-25 07:25,2018-01-25 12:10,,2018-02-01,허가완료
10,130051,2018,005,002,471,삼원신,BSZ7411,광명해운(주),MDG,01,정일1부두,2018-01-25 12:55,2018-01-25 16:28,MDG,01,정일1부두,2018-01-25 12:55,2018-01-25 16:28,,2018-02-01,허가완료
11,HP4776,2018,007,001,698,동우가스,BSZ9145,유니온쉬핑(주),MBL,01,가스부두,2018-01-31 13:35,2018-01-31 19:35,MBL,01,가스부두,2018-01-31 13:35,2018-01-31 19:35,적하,2018-02-01,허가완료
12,110092,2018,004,001,266,11세양호,BSZ7236,(주)월명,MLJ,01,장생포호안,2018-01-31 19:20,2018-01-31 19:35,MLJ,01,장생포호안,2018-01-31 19:20,2018-01-31 19:35,기타,2018-02-01,허가완료
13,110092,2018,004,002,266,11세양호,BSZ7236,(주)월명,WAE,01,정박지-E1,2018-01-31 20:20,2018-01-31 23:40,WAE,01,정박지-E1,2018-01-31 20:20,2018-01-31 23:40,양하,2018-02-01,허가완료
14,110092,2018,004,003,266,11세양호,BSZ7236,(주)월명,MLJ,01,장생포호안,2018-02-01 00:00,2018-02-01 00:05,MLJ,01,장생포호안,2018-02-01 00:00,2018-02-01 00:05,기타,2018-02-01,허가완료
15,130001,2018,010,001,415,동진에이스호,BSZ9703,동진해급(주),WAM,04,정박지 04,2018-01-31 22:23,2018-02-01 05:25,WAM,04,정박지 04,2018-01-31 22:23,2018-02-01 05:25,,2018-02-01,허가완료
16,7JNY,2018,002,001,1.352,KOHO MARU,USC0003,울산해운(주),MBG,06,일반부두 06,2018-01-31 11:20,2018-02-01 01:15,MBG,06,일반부두 06,2018-01-31 11:20,2018-02-01 01:15,양하,2018-02-01,허가완료
17,BPGF,2018,002,001,30.325,GUI CHI,USC2046,씨에스해운,WAE,03,정박지-E3,2018-01-30 10:00,2018-01-30 17:00,WAE,03,정박지-E3,2018-01-30 10:00,2018-01-30 17:00,접안대기,2018-02-01,허가완료
18,130046,2018,004,001,220,7대보호,BSZ7387,평길그린워터,MLJ,01,장생포호안,2018-01-31 11:35,2018-01-31 13:35,MLJ,01,장생포호안,2018-01-31 11:35,2018-01-31 13:35,기타,2018-02-01,허가완료
19,VRET4,2018,001,001,8.539,SC NINGBO,USC2059,세화해운 주식회사,MDY,02,UTT부두,2018-01-31 05:40,2018-01-31 23:05,MDY,02,UTT부두,2018-01-31 05:40,2018-01-31 23:05,적하,2018-02-01,허가완료
20,BPGF,2018,002,002,30.325,GUI CHI,USC2046,씨에스해운,MDU,06,SK6부두,2018-01-30 17:50,2018-02-01 01:50,MDU,06,SK6부두,2018-01-30 17:50,2018-02-01 01:50,적하,2018-02-01,허가완료
21,7JTF,2018,004,001,1.357,KASHIMA MARU NO.8,USC2011,우일해운(주),MB3,02,3부두 02,2018-01-31 08:40,2018-01-31 19:25,MB3,02,3부두 02,2018-01-31 08:40,2018-01-31 19:25,양하,2018-02-01,허가완료
22,105245,2018,006,001,746,,BSK2674,세양쉬핑(주),WAM,01,정박지 01,2018-01-29 11:30,2018-01-31 09:15,WAM,01,정박지 01,2018-01-29 11:30,2018-01-31 09:15,,2018-02-01,허가완료
