시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,120004,2017,012,001,299,뉴동신호,BSZ9968,(주)동신기업,WAM,04,정박지 04,2017-08-31 09:40,2017-08-31 12:45,WAM,04,정박지 04,2017-08-31 09:40,2017-08-31 14:25,양하,2017-09-01,허가완료
2,DSIJ9,2017,033,001,1.974,우종호,ICK0006,우림해운(주),WAM,06,정박지 06,2017-08-30 20:35,2017-08-31 15:00,WAM,06,정박지 06,2017-08-30 20:35,2017-08-31 15:00,접안대기,2017-09-01,허가완료
3,DSIJ9,2017,033,002,1.974,우종호,ICK0006,우림해운(주),MDU,04,SK4부두,2017-08-31 15:25,2017-09-01 00:55,MDU,04,SK4부두,2017-08-31 15:25,2017-09-01 00:55,양하,2017-09-01,허가완료
4,D7BJ,2017,017,001,5.598,우림드라곤3호,ICK0006,우림해운(주),WAE,01,정박지-E1,2017-08-29 22:40,2017-08-30 10:25,WAE,01,정박지-E1,2017-08-29 22:40,2017-08-30 10:25,접안대기,2017-09-01,허가완료
5,D7BJ,2017,017,003,5.598,우림드라곤3호,ICK0006,우림해운(주),WAE,01,정박지-E1,2017-08-31 03:50,2017-08-31 06:25,WAE,01,정박지-E1,2017-08-31 03:50,2017-08-31 06:25,출항대기,2017-09-01,허가완료
6,D7BJ,2017,017,002,5.598,우림드라곤3호,ICK0006,우림해운(주),MDS,03,S-OIL3부두,2017-08-30 11:25,2017-08-31 03:00,MDS,03,S-OIL3부두,2017-08-30 11:25,2017-08-31 03:00,적하,2017-09-01,허가완료
7,D8YQ,2017,013,001,4.727,유진,BSK3228,삼표해운 주식회사,MB2,03,2부두 03,2017-08-30 08:05,2017-08-31 17:50,MB2,03,2부두 03,2017-08-30 08:05,2017-08-31 17:50,양하,2017-09-01,허가완료
8,HOQI,2017,011,001,13.267,,KMS8831,흥아해운(주),MBC,02,신항컨테이너부두02,2017-08-31 13:00,2017-08-31 21:06,MBC,02,신항컨테이너부두02,2017-08-31 13:00,2017-08-31 21:06,,2017-09-01,허가완료
9,091116,2017,040,005,149,현중호,BSZ9165,일해마린,MLJ,01,장생포호안,2017-08-31 16:55,2017-08-31 19:05,MLJ,01,장생포호안,2017-08-31 16:55,2017-08-31 19:05,출항대기,2017-09-01,허가완료
10,091116,2017,040,003,149,현중호,BSZ9165,일해마린,MLJ,01,장생포호안,2017-08-31 06:45,2017-08-31 14:25,MLJ,01,장생포호안,2017-08-31 06:45,2017-08-31 14:25,접안대기,2017-09-01,허가완료
11,091116,2017,040,004,149,현중호,BSZ9165,일해마린,MBN,12,현대오일터미널신항부두,2017-08-31 15:05,2017-08-31 16:15,MBN,12,현대오일터미널신항부두,2017-08-31 15:05,2017-08-31 16:15,적하,2017-09-01,허가완료
12,130001,2017,088,001,415,동진에이스호,BSZ9703,동진해급(주),MDS,01,S-OIL1부두,2017-08-31 18:40,2017-09-01 00:10,MDS,01,S-OIL1부두,2017-08-31 18:40,2017-09-01 00:10,,2017-09-01,허가완료
13,3FBL7,2017,001,001,9.549,YUHUA STAR,USC2026,브라이트마린(주),WAE,01,정박지-E1,2017-08-30 14:40,2017-08-31 01:25,WAE,01,정박지-E1,2017-08-30 14:40,2017-08-31 01:25,접안대기,2017-09-01,허가완료
14,JK5538,2017,008,001,739,MINHOU MARU,USC2011,우일해운(주),MB4,01,4부두 01,2017-08-31 04:50,2017-08-31 10:45,MB4,01,4부두 01,2017-08-31 04:50,2017-08-31 10:45,적하,2017-09-01,허가완료
15,3FBL7,2017,001,002,9.549,YUHUA STAR,USC2026,브라이트마린(주),MDY,02,UTT부두,2017-08-31 02:25,2017-08-31 17:45,MDY,02,UTT부두,2017-08-31 02:25,2017-08-31 17:45,적하,2017-09-01,허가완료
