시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,DSNM2,2018,051,001,1.297,에이스 삼부,BSK0104,삼부해운(주),WAM,01,정박지 01,2018-11-26 14:00,2018-11-30 09:00,WAM,01,정박지 01,2018-11-26 14:00,2018-11-30 09:00,급유,2018-12-01,허가완료
2,DSNM2,2018,051,002,1.297,에이스 삼부,BSK0104,삼부해운(주),MBY,01,용잠부두 01,2018-11-30 09:20,2018-11-30 23:40,MBY,01,용잠부두 01,2018-11-30 09:20,2018-11-30 23:40,적하,2018-12-01,허가완료
3,DSPC6,2018,030,001,2.101,겔럭시 삼부,BSK0104,삼부해운(주),WAE,01,정박지-E1,2018-11-29 19:10,2018-11-29 22:20,WAE,01,정박지-E1,2018-11-29 19:10,2018-11-29 22:20,접안대기,2018-12-01,허가완료
4,DSPC6,2018,030,002,2.101,겔럭시 삼부,BSK0104,삼부해운(주),MBY,03,용잠부두 02,2018-11-29 23:15,2018-11-30 14:55,MBY,03,용잠부두 02,2018-11-29 23:15,2018-11-30 14:55,양하,2018-12-01,허가완료
5,9LU2868,2018,080,001,995,HUI XIN,OST0212,우민해운(주),WAM,05,정박지 05,2018-11-29 06:40,2018-11-30 06:30,WAM,05,정박지 05,2018-11-29 06:40,2018-11-30 06:30,접안대기,2018-12-01,허가완료
6,9LU2868,2018,080,002,995,HUI XIN,OST0212,우민해운(주),MDS,01,S-OIL1부두,2018-11-30 07:25,2018-11-30 18:10,MDS,01,S-OIL1부두,2018-11-30 07:25,2018-11-30 18:10,적하,2018-12-01,허가완료
7,D7TE,2018,006,001,5.002,와이엔 여수,YSZ2012,(주)와이엔텍,MBL,01,가스부두,2018-11-26 07:55,2018-11-26 14:30,MBL,01,가스부두,2018-11-26 07:55,2018-11-26 14:30,적하,2018-12-01,허가완료
8,D7TE,2018,006,002,5.002,와이엔 여수,YSZ2012,(주)와이엔텍,WAE,01,정박지-E1,2018-11-26 15:10,2018-11-26 19:00,WAE,01,정박지-E1,2018-11-26 15:10,2018-11-26 19:00,급유,2018-12-01,허가완료
9,DSFN9,2018,057,001,1.716,우선호,ICK0006,우림해운(주),WAM,05,정박지 05,2018-11-30 09:40,2018-11-30 18:35,WAM,05,정박지 05,2018-11-30 09:40,2018-11-30 18:35,접안대기,2018-12-01,허가완료
10,DSFN9,2018,057,002,1.716,우선호,ICK0006,우림해운(주),MDS,01,S-OIL1부두,2018-11-30 19:20,2018-12-01 06:00,MDS,01,S-OIL1부두,2018-11-30 19:20,2018-12-01 06:00,적하,2018-12-01,허가완료
11,DSQV9,2018,026,002,2.042,고려 305호,USK0053,대상해운(주),MQP,03,현중해양의장안벽,2018-11-15 12:20,2018-11-27 17:35,MQP,03,현중해양의장안벽,2018-11-15 12:20,2018-11-27 17:35,양하,2018-12-01,허가완료
12,DSQV9,2018,026,003,2.042,고려 305호,USK0053,대상해운(주),MBN,26,용연부두(1선석),2018-11-27 18:40,2018-11-27 21:50,MBN,26,용연부두(1선석),2018-11-27 18:40,2018-11-27 21:50,출항대기,2018-12-01,허가완료
13,H9UK,2018,021,001,5.372,,KMB1021,새한해운주식회사,MDG,02,정일2부두,2018-11-30 05:55,2018-12-01 03:05,MDG,02,정일2부두,2018-11-30 05:55,2018-12-01 03:05,적하,2018-12-01,허가완료
