시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,120039,2018,012,001,223,삼성호,BSZ9548,성진상사,MBO,01,온산1부두,2018-08-31 21:00,2018-08-31 23:15,MBO,01,온산1부두,2018-08-31 21:00,2018-08-31 23:15,적하,2018-09-01,허가완료
2,9LU2868,2018,058,001,995,HUI XIN,OST0212,우민해운(주),WAM,05,정박지 05,2018-08-31 05:15,2018-08-31 07:50,WAM,05,정박지 05,2018-08-31 05:15,2018-08-31 07:50,접안대기,2018-09-01,허가완료
3,9LU2868,2018,058,002,995,HUI XIN,OST0212,우민해운(주),MDS,03,S-OIL3부두,2018-08-31 08:35,2018-08-31 16:20,MDS,03,S-OIL3부두,2018-08-31 08:35,2018-08-31 16:20,적하,2018-09-01,허가완료
4,DSPD6,2018,048,004,1.755,그레이스삼부,BSK0104,삼부해운(주),MB3,02,3부두 02,2018-08-31 08:45,2018-08-31 22:35,MB3,02,3부두 02,2018-08-31 08:45,2018-08-31 22:35,적하,2018-09-01,허가완료
5,DSPP3,2018,007,001,4.960,와이엔 오션,BSK2548,포천마린(주),MBN,12,현대오일터미널신항부두,2018-09-01 06:45,2018-09-02 01:00,MBN,12,현대오일터미널신항부두,2018-09-01 06:45,2018-09-02 01:00,양하,2018-09-01,허가완료
6,HONQ,2018,020,001,4.376,CRANE REGULUS,USC2046,씨에스해운,WAE,01,정박지-E1,2018-08-30 07:20,2018-08-30 14:40,WAE,01,정박지-E1,2018-08-30 07:20,2018-08-30 14:40,접안대기,2018-09-01,허가완료
7,088238,2018,112,001,700,3동주,USK0074,영우해운(주),MLJ,01,장생포호안,2018-08-31 12:10,2018-09-01 00:00,MLJ,01,장생포호안,2018-08-31 12:10,2018-09-01 00:00,접안대기,2018-09-01,허가완료
8,088238,2018,112,002,700,3동주,USK0074,영우해운(주),MBU,02,SK2부두 02,2018-08-31 23:50,2018-09-01 09:00,MBU,02,SK2부두 02,2018-08-31 23:50,2018-09-01 09:00,적하,2018-09-01,허가완료
9,D7AT,2018,022,001,1.877,태경 이둔,BSK3182,태경탱커주식회사,MB4,02,4부두 02,2018-08-30 12:30,2018-09-03 10:00,MB4,02,4부두 02,2018-08-30 12:30,2018-09-03 10:00,양하,2018-09-01,허가완료
10,971559,2018,028,001,187,제3오션호,BSB2457,오션마린,MBN,12,현대오일터미널신항부두,2018-08-25 13:45,2018-08-25 16:10,MBN,12,현대오일터미널신항부두,2018-08-25 13:45,2018-08-25 16:10,적하,2018-09-01,허가완료
11,971559,2018,028,002,187,제3오션호,BSB2457,오션마린,MLJ,01,장생포호안,2018-08-25 16:50,2018-08-26 15:45,MLJ,01,장생포호안,2018-08-25 16:50,2018-08-26 15:45,기타,2018-09-01,허가완료
12,971559,2018,028,003,187,제3오션호,BSB2457,오션마린,MB8,02,8부두 02,2018-08-26 16:30,2018-08-26 20:45,MB8,02,8부두 02,2018-08-26 16:30,2018-08-26 20:45,기타,2018-09-01,허가완료
13,971559,2018,028,004,187,제3오션호,BSB2457,오션마린,MLJ,01,장생포호안,2018-08-26 20:55,2018-08-28 08:15,MLJ,01,장생포호안,2018-08-26 20:55,2018-08-28 08:15,기타,2018-09-01,허가완료
14,971559,2018,028,005,187,제3오션호,BSB2457,오션마린,MBN,12,현대오일터미널신항부두,2018-08-28 08:40,2018-08-28 10:10,MBN,12,현대오일터미널신항부두,2018-08-28 08:40,2018-08-28 10:10,기타,2018-09-01,허가완료
