시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,VRFD8,2017,001,002,156.702,,USC0035,(주)쌍용에이젼시,MUY,03,SK부이 03,2017-10-01 09:00,2017-10-02 06:00,MUY,03,SK부이 03,2017-10-01 10:05,2017-10-02 02:00,,2017-10-01,허가완료
2,D9WV,2017,132,001,1.596,,USK0074,영우해운(주),WAM,01,정박지 01,2017-09-30 16:10,2017-10-01 06:30,WAM,01,정박지 01,2017-09-30 16:10,2017-10-01 06:25,,2017-10-01,허가완료
3,D9WV,2017,132,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-10-01 06:40,2017-10-01 18:00,MBU,01,SK2부두 01,2017-10-01 06:45,2017-10-01 14:30,적하,2017-10-01,허가완료
4,028241,2017,112,001,1.823,,USK0074,영우해운(주),WAM,01,정박지 01,2017-09-30 17:40,2017-10-01 07:30,WAM,01,정박지 01,2017-09-30 17:40,2017-10-01 07:25,,2017-10-01,허가완료
5,028241,2017,112,002,1.823,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-10-01 08:00,2017-10-01 20:00,MBU,01,SK2부두 01,2017-10-01 08:00,2017-10-01 17:45,적하,2017-10-01,허가완료
6,071242,2017,110,001,1.493,,USK0074,영우해운(주),WAM,06,정박지 06,2017-09-30 23:50,2017-10-01 17:50,WAM,06,정박지 06,2017-09-30 23:55,2017-10-01 17:30,,2017-10-01,허가완료
7,130029,2017,030,001,549,유성호,BSK9407,세양상사,WAM,01,정박지 01,2017-09-30 10:50,2017-09-30 11:25,WAM,01,정박지 01,2017-09-30 10:50,2017-09-30 11:25,,2017-10-01,허가완료
8,130029,2017,030,002,549,유성호,BSK9407,세양상사,MBJ,03,자동차부두 03,2017-09-30 11:50,2017-09-30 17:05,MBJ,03,자동차부두 03,2017-09-30 11:50,2017-09-30 17:05,양하,2017-10-01,허가완료
9,130096,2017,033,001,5.199,디엘 제이드,BSK2634,동림탱커(주),MDU,05,SK5부두,2017-09-28 23:20,2017-09-29 21:00,MDU,05,SK5부두,2017-09-28 23:20,2017-09-29 21:00,,2017-10-01,허가완료
10,040438,2017,098,001,507,정은,BSK2940,광훈선박(주),WAM,01,정박지 01,2017-09-30 02:45,2017-09-30 03:00,WAM,01,정박지 01,2017-09-30 02:45,2017-09-30 03:00,,2017-10-01,허가완료
11,040438,2017,098,002,507,정은,BSK2940,광훈선박(주),MBU,01,SK2부두 01,2017-09-30 03:25,2017-09-30 03:46,MBU,01,SK2부두 01,2017-09-30 03:25,2017-09-30 03:46,기타,2017-10-01,허가완료
12,040438,2017,098,003,507,정은,BSK2940,광훈선박(주),MBU,01,SK2부두 01,2017-09-30 04:05,2017-09-30 08:45,MBU,01,SK2부두 01,2017-09-30 04:05,2017-09-30 08:45,적하,2017-10-01,허가완료
13,030508,2017,099,004,710,,KMB1535,해주해운(주),MBP,01,염포부두 01,2017-09-30 13:25,2017-09-30 21:10,MBP,01,염포부두 01,2017-09-30 13:25,2017-09-30 21:10,양하,2017-10-01,허가완료
14,030508,2017,099,005,710,,KMB1535,해주해운(주),MBN,13,정일스톨트헤븐울산신항3부두,2017-09-30 22:25,2017-10-01 04:55,MBN,13,정일스톨트헤븐울산신항3부두,2017-09-30 22:25,2017-10-01 04:55,적하,2017-10-01,허가완료
