시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,120025,2017,006,001,388,동방1호,BSK1014,모든기업,WAM,04,정박지 04,2017-02-10 23:55,2017-02-11 03:15,WAM,04,정박지 04,2017-02-10 23:55,2017-02-11 03:15,기타,2017-03-01,허가완료
2,120025,2017,006,002,388,동방1호,BSK1014,모든기업,MBU,01,SK2부두 01,2017-02-11 03:40,2017-02-11 07:05,MBU,01,SK2부두 01,2017-02-11 03:40,2017-02-11 07:05,기타,2017-03-01,허가완료
3,031342,2017,006,001,2.125,금오티1호,ICK0038,현대해운,MBG,03,일반부두 03,2017-02-25 00:50,2017-02-26 17:05,MBG,03,일반부두 03,2017-02-25 00:50,2017-02-26 17:05,양하,2017-03-01,허가완료
4,050191,2017,003,001,1.465,하준티-1호,BSK3059,(주)건민해상,MQM,01,현대미포의장안벽01,2017-02-28 13:00,2017-02-28 14:50,MQM,01,현대미포의장안벽01,2017-02-28 13:00,2017-02-28 14:50,,2017-03-01,허가완료
5,DSDW550,2017,008,001,1.662,,ICK0038,현대해운,MQM,01,현대미포의장안벽01,2017-02-22 14:30,2017-02-24 04:10,MQM,01,현대미포의장안벽01,2017-02-22 14:30,2017-02-24 04:10,,2017-03-01,허가완료
6,036715,2017,029,001,626,대영호,USK0074,영우해운(주),MLJ,01,장생포호안,2017-02-28 17:00,2017-03-01 00:40,MLJ,01,장생포호안,2017-02-28 17:00,2017-03-01 00:40,,2017-03-01,허가완료
7,DSDW550,2017,009,001,1.662,,ICK0038,현대해운,MQP,01,미포부두 01,2017-02-25 02:50,2017-02-25 13:35,MQP,01,미포부두 01,2017-02-25 02:50,2017-02-25 13:35,양하,2017-03-01,허가완료
8,036715,2017,029,002,626,대영호,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-03-01 00:50,2017-03-01 05:20,MBU,01,SK2부두 01,2017-03-01 00:50,2017-03-01 05:20,적하,2017-03-01,허가완료
9,D9WV,2017,026,001,1.596,,USK0074,영우해운(주),WAM,04,정박지 04,2017-02-28 21:20,2017-03-01 11:00,WAM,04,정박지 04,2017-02-28 21:25,2017-03-01 11:00,,2017-03-01,허가완료
10,D9WV,2017,026,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-03-01 11:20,2017-03-01 23:20,MBU,01,SK2부두 01,2017-03-01 11:25,2017-03-01 19:00,적하,2017-03-01,허가완료
11,V7GX9,2017,001,001,23.676,NAVIG8 ARAGONITE,USC1002,아성마린(주),WAE,02,정박지-E2,2017-02-23 13:06,2017-02-24 19:30,WAE,02,정박지-E2,2017-02-23 13:06,2017-02-24 19:30,접안대기,2017-03-01,허가완료
12,V7GX9,2017,001,003,23.676,NAVIG8 ARAGONITE,USC1002,아성마린(주),WAE,02,정박지-E2,2017-02-27 08:00,2017-02-28 00:30,WAE,02,정박지-E2,2017-02-27 08:00,2017-02-28 00:30,접안대기,2017-03-01,허가완료
13,V7GX9,2017,001,004,23.676,NAVIG8 ARAGONITE,USC1002,아성마린(주),MDU,03,SK3부두,2017-02-28 01:18,2017-02-28 20:30,MDU,03,SK3부두,2017-02-28 01:18,2017-02-28 20:30,양하,2017-03-01,허가완료
14,DSQC6,2017,007,002,4.969,새한 캠스타,KMB1021,새한해운주식회사,WAE,01,정박지-E1,2017-02-28 07:42,2017-02-28 11:00,WAE,01,정박지-E1,2017-02-28 07:42,2017-02-28 11:00,급유,2017-03-01,허가완료
15,V7YC4,2017,005,001,2.361,,ICK0006,우림해운(주),MDG,02,정일2부두,2017-02-28 17:20,2017-03-01 05:20,MDG,02,정일2부두,2017-02-28 17:20,2017-03-01 05:20,양하,2017-03-01,허가완료
16,V7YC4,2017,005,002,2.361,,ICK0006,우림해운(주),WAE,01,정박지-E1,2017-03-01 05:45,2017-03-01 09:05,WAE,01,정박지-E1,2017-03-01 05:45,2017-03-01 09:05,급유,2017-03-01,허가완료
17,9HJL9,2017,006,001,2.361,,ICK0006,우림해운(주),MBY,01,용잠부두 01,2017-02-28 17:05,2017-03-01 09:50,MBY,01,용잠부두 01,2017-02-28 17:05,2017-03-01 09:50,양하,2017-03-01,허가완료
18,100314,2017,023,001,401,5한유호,USK0039,(주)한유해운,MLJ,01,장생포호안,2017-02-27 08:35,2017-02-28 14:48,MLJ,01,장생포호안,2017-02-27 08:35,2017-02-28 14:48,,2017-03-01,허가완료
19,100314,2017,023,002,401,5한유호,USK0039,(주)한유해운,MBU,01,SK2부두 01,2017-02-28 14:59,2017-02-28 18:45,MBU,01,SK2부두 01,2017-02-28 14:59,2017-02-28 18:45,적하,2017-03-01,허가완료
20,100314,2017,023,003,401,5한유호,USK0039,(주)한유해운,MLJ,01,장생포호안,2017-02-28 18:55,2017-03-01 00:15,MLJ,01,장생포호안,2017-02-28 18:55,2017-03-01 00:15,기타,2017-03-01,허가완료
21,028241,2017,025,001,1.823,,USK0074,영우해운(주),WAM,01,정박지 01,2017-02-28 23:00,2017-03-01 14:40,WAM,01,정박지 01,2017-02-28 23:00,2017-03-01 14:40,,2017-03-01,허가완료
22,028241,2017,025,002,1.823,,USK0074,영우해운(주),MBU,01,SK2부두 01,2017-03-01 15:00,2017-03-02 03:00,MBU,01,SK2부두 01,2017-03-01 15:05,2017-03-01 22:50,적하,2017-03-01,허가완료
23,071242,2017,024,001,1.493,,USK0074,영우해운(주),WAM,07,정박지 07,2017-03-01 10:30,2017-03-01 19:50,WAM,07,정박지 07,2017-03-01 10:35,2017-03-01 19:50,,2017-03-01,허가완료
24,150010,2017,004,001,993,울산103호,USK9801,보성해상개발(주),MQP,03,현중해양의장안벽,2017-02-25 14:00,2017-02-27 10:50,MQP,03,현중해양의장안벽,2017-02-25 14:00,2017-02-27 10:50,양하,2017-03-02,허가완료
25,048246,2017,003,001,1.004,울산703호,USK9801,보성해상개발(주),MQP,03,현중해양의장안벽,2017-02-27 08:45,2017-03-01 18:10,MQP,03,현중해양의장안벽,2017-02-27 08:45,2017-03-01 18:10,양하,2017-03-02,허가완료
26,DSQT8,2017,010,001,1.698,스타 호프,BSG9001,효동선박(주),WAM,05,정박지 05,2017-02-28 22:30,2017-03-01 04:30,WAM,05,정박지 05,2017-02-28 22:30,2017-03-01 04:30,접안대기,2017-03-02,허가완료
27,130001,2017,024,002,415,동진에이스호,BSZ9703,동진해급(주),MDS,02,S-OIL2부두,2017-03-01 09:05,2017-03-01 12:50,MDS,02,S-OIL2부두,2017-03-01 09:05,2017-03-01 12:50,적하,2017-03-02,허가완료
28,130079,2017,015,005,424,대정,BSB2154,대정마린(주),MLJ,01,장생포호안,2017-02-27 19:20,2017-02-28 08:30,MLJ,01,장생포호안,2017-02-27 19:20,2017-02-28 08:30,기타,2017-03-02,허가완료
29,DSGV,2017,018,002,1.257,,BSK0104,삼부해운(주),MB3,02,3부두 02,2017-03-01 23:10,2017-03-02 06:30,MB3,02,3부두 02,2017-03-01 23:10,2017-03-02 06:30,적하,2017-03-02,허가완료
30,130079,2017,015,006,424,대정,BSB2154,대정마린(주),WAE,01,정박지-E1,2017-02-28 09:15,2017-02-28 14:00,WAE,01,정박지-E1,2017-02-28 09:15,2017-02-28 14:00,양하,2017-03-02,허가완료
