시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
24,9VHZ8,2018,006,001,18.872,WAN HAI 261,KMC0211,만해항운한국(주),MBO,05,정일컨부두,2018-06-28 19:15,2018-06-29 01:20,MBO,05,정일컨부두,2018-06-28 19:15,2018-06-29 01:20,양적하,2018-07-01,허가완료
25,071381,2018,057,002,549,제2보원호,BSZ9626,동대해운주식회사,MDS,02,S-OIL2부두,2018-06-29 21:40,2018-06-30 05:50,MDS,02,S-OIL2부두,2018-06-29 21:40,2018-06-30 05:50,적하,2018-07-01,허가완료
26,071381,2018,057,003,549,제2보원호,BSZ9626,동대해운주식회사,MLJ,01,장생포호안,2018-06-30 06:45,2018-06-30 16:05,MLJ,01,장생포호안,2018-06-30 06:45,2018-06-30 16:05,기타,2018-07-01,허가완료
27,071381,2018,057,004,549,제2보원호,BSZ9626,동대해운주식회사,WAE,03,정박지-E3,2018-06-30 17:20,2018-06-30 22:50,WAE,03,정박지-E3,2018-06-30 17:20,2018-06-30 22:50,양하,2018-07-01,허가완료
28,071381,2018,057,005,549,제2보원호,BSZ9626,동대해운주식회사,MLJ,01,장생포호안,2018-07-01 02:10,2018-07-01 10:00,MLJ,01,장생포호안,2018-07-01 02:10,2018-07-01 10:00,기타,2018-07-01,허가완료
29,DSFT9,2018,016,003,492,화인 하나호,BSK2514,하나마린(주),MB6,02,6부두 02,2018-07-01 01:50,2018-07-01 11:40,MB6,02,6부두 02,2018-07-01 01:50,2018-07-01 11:40,양하,2018-07-01,허가완료
30,071381,2018,057,006,549,제2보원호,BSZ9626,동대해운주식회사,MBU,02,SK2부두 02,2018-07-01 10:10,2018-07-01 14:30,MBU,02,SK2부두 02,2018-07-01 10:10,2018-07-01 14:30,적하,2018-07-01,허가완료
31,090211,2018,004,001,743,태진,BSZ9477,아요마린(주),WAM,01,정박지 01,2018-07-01 07:25,2018-07-01 10:15,WAM,01,정박지 01,2018-07-01 07:25,2018-07-01 10:15,기타,2018-07-01,허가완료
32,120021,2018,015,001,299,동방3호,BSK2864,(주)용정마린,MLJ,01,장생포호안,2018-06-30 19:35,2018-07-01 07:20,MLJ,01,장생포호안,2018-06-30 19:35,2018-07-01 07:20,기타,2018-07-01,허가완료
33,120021,2018,015,002,299,동방3호,BSK2864,(주)용정마린,MBJ,02,자동차부두 02,2018-07-01 08:00,2018-07-01 12:40,MBJ,02,자동차부두 02,2018-07-01 08:00,2018-07-01 12:40,양하,2018-07-01,허가완료
34,090211,2018,004,002,743,태진,BSZ9477,아요마린(주),MDS,02,S-OIL2부두,2018-07-01 11:05,2018-07-01 15:55,MDS,02,S-OIL2부두,2018-07-01 11:05,2018-07-01 15:55,적하,2018-07-01,허가완료
35,150074,2018,062,001,703,보광에이스,USZ1234,(주)비케이해운,MLJ,01,장생포호안,2018-06-29 19:00,2018-06-30 14:50,MLJ,01,장생포호안,2018-06-29 19:00,2018-06-30 14:50,기타,2018-07-01,허가완료
36,150074,2018,062,002,703,보광에이스,USZ1234,(주)비케이해운,MDD,02,선양부두,2018-06-30 15:35,2018-06-30 19:40,MDS,02,S-OIL2부두,2018-06-30 15:35,2018-06-30 19:40,적하,2018-07-01,허가완료
37,925419,2018,038,001,535,보광3호,USZ0003,마린해운(주),MLJ,01,장생포호안,2018-06-28 04:40,2018-06-29 16:55,MLJ,01,장생포호안,2018-06-28 04:40,2018-06-29 16:55,기타,2018-07-01,허가완료
38,925419,2018,038,002,535,보광3호,USZ0003,마린해운(주),MBO,02,온산2부두,2018-06-29 17:45,2018-06-29 21:50,MBO,02,온산2부두,2018-06-29 17:45,2018-06-29 21:50,적하,2018-07-01,허가완료
39,3FZO6,2018,014,001,2.823,KEOYOUNG DREAM 1,USC0002,신양상선(주),WAE,01,정박지-E1,2018-06-22 16:45,2018-06-26 09:55,WAE,01,정박지-E1,2018-06-22 16:45,2018-06-26 09:55,급유,2018-07-01,허가완료
40,3FUK8,2018,001,001,4.544,SUN FLORA,USC0002,신양상선(주),MBN,15,정일스톨트헤븐울산신항5부두,2018-06-21 22:30,2018-06-22 12:30,MBN,15,정일스톨트헤븐울산신항5부두,2018-06-21 22:30,2018-06-22 12:30,적하,2018-07-01,허가완료
41,3FUK8,2018,001,003,4.544,SUN FLORA,USC0002,신양상선(주),MBD,03,S-OIL 4부두 03,2018-06-25 20:05,2018-06-26 16:15,MBD,03,S-OIL 4부두 03,2018-06-25 20:05,2018-06-26 16:15,적하,2018-07-01,허가완료
42,PCYQ,2018,001,001,18.099,FAIRMASTER,USC0002,신양상선(주),MB5,01,5부두 01,2018-06-25 11:10,2018-06-30 15:30,MB5,01,5부두 01,2018-06-25 11:10,2018-06-30 15:30,적하,2018-07-01,허가완료
43,VRDJ7,2018,003,001,29.266,ATLANTIC FRONTIER,USC0002,신양상선(주),WAE,02,정박지-E2,2018-06-23 00:18,2018-06-25 06:50,WAE,02,정박지-E2,2018-06-23 00:18,2018-06-25 06:50,급유,2018-07-01,허가완료
44,VRDJ7,2018,003,002,29.266,ATLANTIC FRONTIER,USC0002,신양상선(주),MDS,02,S-OIL2부두,2018-06-25 07:50,2018-06-26 21:40,MDS,02,S-OIL2부두,2018-06-25 07:50,2018-06-26 21:40,적하,2018-07-01,허가완료
45,D7ST,2018,007,002,8.263,케이에스 아도니스,OST0011,팬오션 주식회사,MBN,13,정일스톨트헤븐울산신항3부두,2018-06-28 09:00,2018-06-29 03:35,MBN,13,정일스톨트헤븐울산신항3부두,2018-06-28 09:00,2018-06-29 03:35,양하,2018-07-01,허가완료
46,3FXC,2018,001,001,31.882,KING BATON ROUGE,USC0002,신양상선(주),WAE,03,정박지-E3,2018-06-25 11:30,2018-06-27 07:06,WAE,03,정박지-E3,2018-06-25 11:30,2018-06-27 07:06,접안대기,2018-07-01,허가완료
47,3EGD6,2018,002,001,9.531,SITC NAGOYA,KMC0629,에스아이티씨 컨테이너 라인스 코리아,MBO,05,정일컨부두,2018-06-28 15:35,2018-06-28 17:55,MBO,05,정일컨부두,2018-06-28 15:35,2018-06-28 17:55,적하,2018-07-01,허가완료
48,3FDA8,2018,007,001,9.962,FORTUNE TRADE 1,USC0002,신양상선(주),MB6,01,6부두 01,2018-06-30 07:10,2018-06-30 12:00,MB6,01,6부두 01,2018-06-30 07:10,2018-06-30 12:00,적하,2018-07-01,허가완료
49,DSQL2,2018,003,001,1.134,시즈카호,KMC0801,유진상선(주),MBN,02,신항일반부두02,2018-06-28 20:10,2018-06-29 15:50,MBN,01,신항일반부두01,2018-06-28 20:10,2018-06-29 15:50,적하,2018-07-01,허가완료
50,D9WW,2018,070,002,1.590,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-07-01 15:00,2018-07-01 20:00,MBU,02,SK2부두 02,2018-07-01 15:00,2018-07-01 20:00,적하,2018-07-01,허가완료
51,060821,2018,015,002,199,천남호,PHK1002,울릉군 수산업 협동조합,MDS,01,S-OIL1부두,2018-06-29 17:00,2018-06-30 01:20,MDS,01,S-OIL1부두,2018-06-29 17:00,2018-06-30 01:20,적하,2018-07-01,허가완료
52,060821,2018,016,001,199,천남호,PHK1002,울릉군 수산업 협동조합,MLJ,01,장생포호안,2018-07-01 09:45,2018-07-05 16:00,MLJ,01,장생포호안,2018-07-01 09:45,2018-07-05 16:00,적하,2018-07-01,허가완료
53,160054,2018,011,001,5.222,모닝 누리,USZ1046,한라시멘트(주)온산,MBO,04,온산4부두,2018-06-29 22:50,2018-07-01 03:50,MBO,04,온산4부두,2018-06-29 22:50,2018-07-01 03:50,양하,2018-07-02,허가완료
54,050619,2018,009,002,4.881,한라3,USZ1046,한라시멘트(주)온산,MBO,04,온산4부두,2018-07-01 04:48,2018-07-02 02:48,MBO,04,온산4부두,2018-07-01 04:48,2018-07-02 02:48,양하,2018-07-02,허가완료
55,DSEX3,2018,026,001,1.734,팰러스호,USC0004,가나해운(주),WAM,04,정박지 04,2018-06-29 21:50,2018-07-01 07:00,WAM,04,정박지 04,2018-06-29 21:50,2018-07-01 07:00,접안대기,2018-07-02,허가완료
56,DSEX3,2018,026,002,1.734,팰러스호,USC0004,가나해운(주),MBO,06,효성부두,2018-07-01 08:00,2018-07-01 23:45,MBO,06,효성부두,2018-07-01 08:00,2018-07-01 23:45,적하,2018-07-02,허가완료
57,120059,2018,033,002,415,부양에이스,BSK2527,부양해운,MBU,02,SK2부두 02,2018-07-01 19:55,2019-07-02 00:25,MBU,02,SK2부두 02,2018-07-01 19:55,2019-07-02 00:25,적하,2018-07-02,허가완료
58,V7HY4,2018,013,001,9.960,HEUNG-A XIAMEN,KMS8831,흥아해운(주),MBC,01,신항컨테이너부두01,2018-07-01 13:06,2018-07-01 20:24,MBC,01,신항컨테이너부두01,2018-07-01 13:06,2018-07-01 20:24,양적하,2018-07-02,허가완료
59,120059,2018,033,001,415,부양에이스,BSK2527,부양해운,MLJ,01,장생포호안,2018-07-01 19:25,2018-07-01 19:50,MLJ,01,장생포호안,2018-07-01 19:25,2018-07-01 19:50,기타,2018-07-02,허가완료
60,3EME9,2018,009,001,13.596,ORIENTAL BRIGHT,KMS8831,흥아해운(주),MBC,02,신항컨테이너부두02,2018-06-30 00:15,2018-06-30 22:50,MBC,02,신항컨테이너부두02,2018-06-30 00:15,2018-06-30 22:50,양적하,2018-07-02,허가완료
61,130096,2018,026,001,5.199,디엘 제이드,BSK2634,동림탱커(주),WAE,01,정박지-E1,2018-06-26 00:35,2018-06-29 07:10,WAE,01,정박지-E1,2018-06-26 00:35,2018-06-29 07:10,접안대기,2018-07-02,허가완료
