시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,071242,2018,098,001,1.493,,USK0074,영우해운(주),WAM,04,정박지 04,2018-10-01 00:00,2018-10-01 03:20,WAM,04,정박지 04,2018-10-01 00:00,2018-10-01 03:20,접안대기,2018-10-01,허가완료
2,071242,2018,098,002,1.493,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-10-01 03:50,2018-10-01 15:00,MBU,01,SK2부두 01,2018-10-01 03:50,2018-10-01 15:00,적하,2018-10-01,허가완료
3,D7EF,2018,010,001,7.206,우림,ICK0006,우림해운(주),WAE,01,정박지-E1,2018-09-23 12:30,2018-09-26 01:10,WAE,01,정박지-E1,2018-09-23 12:30,2018-09-26 01:10,접안대기,2018-10-01,허가완료
4,D7EF,2018,010,002,7.206,우림,ICK0006,우림해운(주),MDS,01,S-OIL1부두,2018-09-26 02:00,2018-09-26 02:35,MDS,01,S-OIL1부두,2018-09-26 02:00,2018-09-26 02:35,화물대기,2018-10-01,허가완료
5,D7EF,2018,010,003,7.206,우림,ICK0006,우림해운(주),MB6,05,6부두 05,2018-09-26 05:30,2018-09-26 22:30,MB6,05,6부두 05,2018-09-26 05:30,2018-09-26 22:30,접안대기,2018-10-01,허가완료
6,D7EF,2018,010,004,7.206,우림,ICK0006,우림해운(주),WAE,01,정박지-E1,2018-09-27 11:45,2018-09-29 09:00,WAE,01,정박지-E1,2018-09-27 11:45,2018-09-29 09:00,접안대기,2018-10-01,허가완료
7,D7EF,2018,010,005,7.206,우림,ICK0006,우림해운(주),MDS,01,S-OIL1부두,2018-09-29 09:45,2018-09-30 17:45,MDS,01,S-OIL1부두,2018-09-29 09:45,2018-09-30 17:45,적하,2018-10-01,허가완료
8,130088,2018,021,001,323,7보광호,BSK2647,명성유업,WAM,01,정박지 01,2018-09-29 11:05,2018-09-29 13:20,WAM,01,정박지 01,2018-09-29 11:05,2018-09-29 13:20,양하,2018-10-01,허가완료
9,130088,2018,021,002,323,7보광호,BSK2647,명성유업,MBJ,02,자동차부두 02,2018-09-29 11:05,2018-09-29 17:50,MBJ,02,자동차부두 02,2018-09-29 11:05,2018-09-29 17:50,양하,2018-10-01,허가완료
10,VREC2,2018,001,001,8.693,EASTERN HARMONY,USC0031,그레이트해운(주),WAE,03,정박지-E3,2018-09-23 04:40,2018-09-27 09:55,WAE,03,정박지-E3,2018-09-23 04:40,2018-09-27 09:55,접안대기,2018-10-01,허가완료
11,DSMB2,2018,013,001,7.240,대산 케미,OST0019,에스케이해운 주식회사,WAE,01,정박지-E1,2018-09-27 16:40,2018-09-29 22:50,WAE,01,정박지-E1,2018-09-27 16:40,2018-09-29 22:50,접안대기,2018-10-01,허가완료
