시설사용허가현황,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
순번,호출부호,입항횟수,입항횟수,입항횟수,신고톤수,선박명,선사/대리점,선사/대리점,신청시설,신청시설,신청시설,신청일시(FROM ~ TO),신청일시(FROM ~ TO),지정시설,지정시설,지정시설,지정일시(FROM ~ TO),지정일시(FROM ~ TO),사용목적명,예보일시,허가유무
1,028241,2018,029,001,1.823,,USK0074,영우해운(주),WAM,02,정박지 02,2018-02-28 09:40,2018-02-28 21:00,WAM,02,정박지 02,2018-02-28 09:45,2018-02-28 20:40,,2018-03-01,허가완료
2,088238,2018,035,002,700,3동주,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-03-01 02:40,2018-03-01 11:00,MBU,01,SK2부두 01,2018-03-01 02:45,2018-03-01 09:20,,2018-03-01,허가완료
3,088238,2018,035,001,700,3동주,USK0074,영우해운(주),MLJ,01,장생포호안,2018-02-28 02:50,2018-03-01 02:30,MLJ,01,장생포호안,2018-02-28 02:50,2018-03-01 02:30,,2018-03-01,허가완료
4,080511,2018,015,002,1.598,,BSE0354,(주)쉽맨코,MBN,12,현대오일터미널신항부두,2018-02-28 11:05,2018-02-28 21:50,MBN,12,현대오일터미널신항부두,2018-02-28 11:05,2018-02-28 21:50,적하,2018-03-01,허가완료
5,080511,2018,015,001,1.598,,BSE0354,(주)쉽맨코,WAM,02,정박지 02,2018-02-28 07:35,2018-02-28 10:10,WAM,02,정박지 02,2018-02-28 07:35,2018-02-28 10:10,접안대기,2018-03-01,허가완료
6,9LU2868,2018,012,001,995,HUI XIN,OST0212,우민해운(주),WAM,05,정박지 05,2018-02-27 12:00,2018-02-28 12:00,WAM,05,정박지 05,2018-02-27 12:00,2018-02-28 12:00,접안대기,2018-03-01,허가완료
7,9LU2868,2018,012,002,995,HUI XIN,OST0212,우민해운(주),MDS,03,S-OIL3부두,2018-02-28 12:40,2018-02-28 21:50,MDS,03,S-OIL3부두,2018-02-28 12:40,2018-02-28 21:50,적하,2018-03-01,허가완료
8,3EGU7,2018,005,003,1.411,에이스 하나,BSK2514,하나마린(주),WAM,03,정박지 03,2018-02-28 06:35,2018-02-28 16:50,WAM,03,정박지 03,2018-02-28 06:35,2018-02-28 16:50,접안대기,2018-03-01,허가완료
9,3FDY6,2018,002,001,5.201,SILVER QUEEN,BSK2514,하나마린(주),WAE,01,정박지-E1,2018-02-28 07:45,2018-02-28 11:25,WAE,01,정박지-E1,2018-02-28 07:45,2018-02-28 11:25,접안대기,2018-03-01,허가완료
10,3FDY6,2018,002,002,5.201,SILVER QUEEN,BSK2514,하나마린(주),MBN,15,정일스톨트헤븐울산신항5부두,2018-02-28 12:20,2018-03-01 04:00,MBN,15,정일스톨트헤븐울산신항5부두,2018-02-28 12:20,2018-03-01 04:00,적하,2018-03-01,허가완료
11,100307,2018,008,001,133,광진호,BSU2516,금천 주식회사,MLJ,01,장생포호안,2018-02-26 09:25,2018-02-26 10:30,MLJ,01,장생포호안,2018-02-26 09:25,2018-02-26 10:30,기타,2018-03-01,허가완료
12,070606,2018,002,002,149,신성호,BSB2434,청해마린,MWI,01,이진물양장,2018-02-28 16:30,2018-02-28 19:40,MWI,01,이진물양장,2018-02-28 16:30,2018-02-28 19:40,,2018-03-01,허가완료
13,150074,2018,022,001,703,보광에이스,USZ1234,(주)비케이해운,MLJ,01,장생포호안,2018-02-27 18:30,2018-02-28 01:40,MLJ,01,장생포호안,2018-02-27 18:30,2018-02-28 01:40,기타,2018-03-01,허가완료
14,V7UP9,2018,003,001,9.520,스타 익스프레스,KMS8833,남성해운(주),MBC,01,신항컨테이너부두01,2018-02-28 18:15,2018-03-01 05:50,MBC,01,신항컨테이너부두01,2018-02-28 18:15,2018-03-01 05:50,양적하,2018-03-01,허가완료
15,150074,2018,022,002,703,보광에이스,USZ1234,(주)비케이해운,MDS,02,S-OIL2부두,2018-02-28 02:30,2018-02-28 05:40,MDS,02,S-OIL2부두,2018-02-28 02:30,2018-02-28 05:40,적하,2018-03-01,허가완료
16,150074,2018,022,003,703,보광에이스,USZ1234,(주)비케이해운,WAM,02,정박지 02,2018-02-28 06:20,2018-02-28 09:20,WAM,02,정박지 02,2018-02-28 06:20,2018-02-28 09:20,기타,2018-03-01,허가완료
17,150074,2018,022,004,703,보광에이스,USZ1234,(주)비케이해운,MQM,02,현대미포의장안벽02,2018-02-28 09:50,2018-02-28 13:45,MQM,02,현대미포의장안벽02,2018-02-28 09:50,2018-02-28 13:45,양하,2018-03-01,허가완료
18,150074,2018,022,005,703,보광에이스,USZ1234,(주)비케이해운,WAM,01,정박지 01,2018-02-28 13:55,2018-02-28 14:30,WAM,01,정박지 01,2018-02-28 13:55,2018-02-28 14:30,기타,2018-03-01,허가완료
19,150074,2018,022,006,703,보광에이스,USZ1234,(주)비케이해운,MLJ,01,장생포호안,2018-02-28 15:00,2018-02-28 20:30,MLJ,01,장생포호안,2018-02-28 15:00,2018-02-28 20:30,기타,2018-03-01,허가완료
20,150074,2018,022,007,703,보광에이스,USZ1234,(주)비케이해운,MLJ,01,장생포호안,2018-02-28 21:40,2018-03-01 00:10,MLJ,01,장생포호안,2018-02-28 21:40,2018-03-01 00:10,기타,2018-03-01,허가완료
21,150074,2018,022,008,703,보광에이스,USZ1234,(주)비케이해운,MBO,02,온산2부두,2018-03-01 00:50,2018-03-01 06:20,MBO,02,온산2부두,2018-03-01 00:50,2018-03-01 06:20,적하,2018-03-01,허가완료
22,162805,2018,012,001,337,금창골드호,YSK2030,(유)금창해운,WAM,01,정박지 01,2018-02-28 03:55,2018-02-28 20:10,WAM,01,정박지 01,2018-02-28 03:55,2018-02-28 20:10,기타,2018-03-01,허가완료
23,162805,2018,012,002,337,금창골드호,YSK2030,(유)금창해운,MB4,01,4부두 01,2018-02-28 20:30,2018-03-01 00:05,MB4,01,4부두 01,2018-02-28 20:30,2018-03-01 00:05,적하,2018-03-01,허가완료
24,162805,2018,012,003,337,금창골드호,YSK2030,(유)금창해운,WAM,04,정박지 04,2018-03-01 00:30,2018-03-01 08:20,WAM,04,정박지 04,2018-03-01 00:30,2018-03-01 08:20,기타,2018-03-01,허가완료
25,071242,2018,023,001,1.493,,USK0074,영우해운(주),WAM,01,정박지 01,2018-03-01 10:20,2018-03-01 14:50,WAM,01,정박지 01,2018-03-01 10:20,2018-03-01 14:45,,2018-03-01,허가완료
26,071242,2018,023,002,1.493,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-03-01 15:00,2018-03-01 22:00,MBU,01,SK2부두 01,2018-03-01 15:05,2018-03-01 21:10,,2018-03-01,허가완료
27,D9WV,2018,029,002,1.596,,USK0074,영우해운(주),MBU,01,SK2부두 01,2018-03-01 22:30,2018-03-02 10:30,MBU,01,SK2부두 01,2018-03-01 22:30,2018-03-02 10:00,적하,2018-03-01,허가완료
